IssueID,Title,Description,Title_Description,PullRequestID,FixedByID,RepoID
2637,CreateAssemblyInfo alias creates invalid file when using .vb,"When running the following cake script:

```
Task(""Default"")
  .Does(() =>
{
  var file = ""./SolutionInfo.vb"";
var version = ""0.0.1"";
var buildNo = ""123"";
var semVersion = string.Concat(version + ""-"" + buildNo);
CreateAssemblyInfo(file, new AssemblyInfoSettings {
    Product = ""SampleProject"",
    Version = version,
    FileVersion = version,
    InformationalVersion = semVersion,
    Copyright = string.Format(""Copyright (c) Contoso 2014 - {0}"", DateTime.Now.Year),
    ComVisible = true
});
});

RunTarget(""Default"")
```

The following file is generated:

```
'------------------------------------------------------------------------------
' <auto-generated>
'     This code was generated by Cake.
' </auto-generated>
'------------------------------------------------------------------------------
Imports System.Reflection
Imports System.Runtime.InteropServices

<Assembly: AssemblyProduct(""SampleProject"")>
<Assembly: AssemblyVersion(""0.0.1"")>
<Assembly: AssemblyFileVersion(""0.0.1"")>
<Assembly: AssemblyInformationalVersion(""0.0.1-123"")>
<Assembly: AssemblyCopyright(""Copyright (c) Contoso 2014 - 2019"")>
<Assembly: ComVisible(true)>
```

This is invalid, as this should be `True` not `true` for the ComVisible attribute.","CreateAssemblyInfo alias creates invalid file when using .vb  When running the following cake script:

```
Task(""Default"")
  .Does(() =>
{
  var file = ""./SolutionInfo.vb"";
var version = ""0.0.1"";
var buildNo = ""123"";
var semVersion = string.Conca",2639,gep13,cake
2638,CreateAssemblyInfo alias should allow creation of custom boolean attributes and also empty attributes,"Currently, it is possible to use the CustomAttributes collection of the AssemblyInfoSettings class to create custom attributes that are not covered in the base AssemblyInfoSettings class.  However, it is not currently possible to create a custom attribute that looks like the following:

```
[assembly: CustomAttributeA(false)]
```

or like this:

```
[assembly: CustomAttributeB()]
```

This is due in part to the fact that the CreateAssemblyInfo alias was never intended to cover all bases, however, I believe that this scenario is common enough that it should be possible.

This is NOT related to this issue: https://github.com/cake-build/cake/issues/1027 which is actually looking for a new alias `ModifyAssemblyInfo`, which knows and understands all the attributes in the assemblyinfo file.  This issue is constrained only to the CreateAssemblyInfo alias.","CreateAssemblyInfo alias should allow creation of custom boolean attributes and also empty attributes  Currently, it is possible to use the CustomAttributes collection of the AssemblyInfoSettings class to create custom attributes that are not covered in t",2639,gep13,cake
2499,NuGet Pack with assembly references support,"### What You Are Seeing?

With current `NuGetPackSettings` it is not possible to add assembly references to the NuGet package.

### What is Expected?

Possibility to add assembly references to NuGet package (like with `NuSpecDependency` for NuGet dependencies of the package).

### What version of Cake are you using?

- 0.32.1

### Are you running on a 32 or 64 bit system?

- x64

### What environment are you running on?  Windows? Linux? Mac?

- Win 10
- macOS

### Are you running on a CI Server?  If so, which one?

- GitLab CI

### XML example

```xml
<?xml version=""1.0"" encoding=""utf-8""?>
<package xmlns=""http://schemas.microsoft.com/packaging/2012/06/nuspec.xsd"">
  <metadata>
    <id>RSAG.Xam.RtfEditor</id>
    <version>0.1.0-alpha0005</version>
    <title>RTF edit and view controls</title>
...
    <dependencies>
      <group targetFramework="".NETStandard2.0"">
        <dependency id=""Syncfusion.Xamarin.DocIO"" version=""16.4.0.54"" />
        <dependency id=""Xamarin.Forms"" version=""3.4.0.1029999"" />
      </group>
      <group targetFramework=""MonoAndroid5.0"">
        <dependency id=""Syncfusion.Xamarin.DocIO"" version=""16.4.0.54"" />
        <dependency id=""Xamarin.Forms"" version=""3.4.0.1029999"" />
      </group>
      <group targetFramework=""Xamarin.iOS1.0"">
        <dependency id=""Syncfusion.Xamarin.DocIO"" version=""16.4.0.54"" />
        <dependency id=""Xamarin.Forms"" version=""3.4.0.1029999"" />
      </group>
      <group targetFramework=""UAP0.0"">
        <dependency id=""Microsoft.NETCore.UniversalWindowsPlatform"" version=""6.2.7"" />
        <dependency id=""Syncfusion.Xamarin.DocIO"" version=""16.4.0.54"" />
        <dependency id=""Xamarin.Forms"" version=""3.4.0.1029999"" />
      </group>
    </dependencies>
    <frameworkAssemblies>
      <frameworkAssembly assemblyName=""Mono.Android.Export"" targetFramework=""MonoAndroid1.0"" />
    </frameworkAssemblies>
  </metadata>
</package>
```","NuGet Pack with assembly references support  ### What You Are Seeing?

With current `NuGetPackSettings` it is not possible to add assembly references to the NuGet package.

### What is Expected?

Possibility to add assembly references to NuGet packa",2516,daveMueller,cake
2156,Add newer nuspec properties to NuGetPackSettings,"`NuGetPackSettings` (and related classes) should implement the newer properties documented in https://docs.microsoft.com/en-au/nuget/reference/nuspec (and https://github.com/NuGet/NuGet.Client/blob/dev/src/NuGet.Core/NuGet.Packaging/compiler/resources/nuspec.xsd)

In particular the PackageReference-related properties like contentFiles etc",Add newer nuspec properties to NuGetPackSettings  `NuGetPackSettings` (and related classes) should implement the newer properties documented in https://docs.microsoft.com/en-au/nuget/reference/nuspec (and https://github.com/NuGet/NuGet.Client/blob/dev/src,2516,daveMueller,cake
2375,Add convenience extensions to TextTransformationExtensions,"I would like to add convenience extensions to TextTransformationExtension:

Support for dictionaries:

```c#
public static TextTransformation<TTemplate> WithTokens<TTemplate>(
    this TextTransformation<TTemplate> transformation, IDictionary<string, object> tokens)
    where TTemplate : class, ITextTransformationTemplate
{
    if (transformation != null && tokens != null)
    {
        foreach (var token in tokens)
        {
            if (token.Value != null) // leave placeholder for tokens without a value
            {
                transformation.Template.Register(token.Key, token.Value);
            }
        }
    }
    return transformation;
}
```
Support for shallow object properties, with optional key prefix, that feeds the first extension method:
```c#
public static Dictionary<string, object> ToTokens(this object value, string prefix = null, BindingFlags? bindingAttr = null)
{
    return value?.GetType()
        .GetProperties(bindingAttr ?? BindingFlags.Instance | BindingFlags.Static | BindingFlags.Public)
        .ToDictionary(property => string.Concat(prefix, property.Name), property => property.GetValue(value));
}
```

Thoughts? Happy to submit a PR!","Add convenience extensions to TextTransformationExtensions  I would like to add convenience extensions to TextTransformationExtension:

Support for dictionaries:

```c#
public static TextTransformation<TTemplate> WithTokens<TTemplate>(
    this Text",2509,gitfool,cake
2124,Add Support for IEnumerable tokens on TextTransformationExtensions,"I would like to add the ability for adding a dictionary of tokens.

I have a JSON file of key values, and when I use newtonsoft to deserialize, it defaults into an IDictionary<string,object>, and so I'd like to simply pass that into the TextTransform Extension Method.","Add Support for IEnumerable tokens on TextTransformationExtensions  I would like to add the ability for adding a dictionary of tokens.

I have a JSON file of key values, and when I use newtonsoft to deserialize, it defaults into an IDictionary<string,ob",2509,gitfool,cake
2457,GH2456: Add logging aliases to override the log verbosity,"Fixes #2456:
- Add `Disposable` helper for creating anonymous disposables
- Refactor `TeamCityDisposableExtensions` to use `Disposable` helper
- Add logging aliases and extension methods:
  - QuietVerbosity, MinimalVerbosity, NormalVerbosity, VerboseVerbosity, DiagnosticVerbosity

Example usage:
```c#
Task(""Test"")
    .Does(() =>
{
    Debug(""Hide me"");
    using (DiagnosticVerbosity())
    {
        Error(""Show me."");
        Warning(""Show me."");
        Information(""Show me."");
        Verbose(""Show me."");
        Debug(""Show me."");
    }
    Debug(""Hide me again"");
});
```","GH2456: Add logging aliases to override the log verbosity  Fixes #2456:
- Add `Disposable` helper for creating anonymous disposables
- Refactor `TeamCityDisposableExtensions` to use `Disposable` helper
- Add logging aliases and extension methods:
  -",2486,gitfool,cake
820,Log tools command-line at higher log level (preferably default),"I'm used to and prefer being able to see the command-line of all tools being run by default. This is also the behavior in TeamCity. Obviously subjective though.

References:
- [ProcessRunner.cs#L63](https://github.com/cake-build/cake/blob/develop/src/Cake.Core/IO/ProcessRunner.cs#L63)
- [ProcessWrapper.cs#L61](https://github.com/cake-build/cake/blob/develop/src/Cake.Core/IO/ProcessWrapper.cs#L61)","Log tools command-line at higher log level (preferably default)  I'm used to and prefer being able to see the command-line of all tools being run by default. This is also the behavior in TeamCity. Obviously subjective though.

References:
- [ProcessRun",2486,gitfool,cake
2270,Allow to listen and modify redirected standard output of a process,"Currently `ProcessAliases` do not allow to receive and modify (or filter) other process's outputs in real time while the process is running.

I am implementing wrappers for command line tools like SVN, xcodebuild and it would be great to have an opportunity to pipe outputs of tools or modify it for better build logs.

After a short Gitter discussion there is a suggestion to add following output handlers to `ProcessSettings`:

```
public Func<string, string> RedirectedStandardOutputHandler;
public Func<string, string> RedirectedStandardErrorHandler;
```

By @devlead:
> if one would want to filter out sensitive information i.e. one could retract that from the buffer and null if it should be totally omitted.","Allow to listen and modify redirected standard output of a process  Currently `ProcessAliases` do not allow to receive and modify (or filter) other process's outputs in real time while the process is running.

I am implementing wrappers for command line",2447,fseegraeber,cake
2354,NuGetPush alias should capture NuGet.exe output,"When pushing with NuGetPush and expecting something like a failure because of a disabled package override on the NuGet Feed.

The expected NuGet.exe output is: 
`Response status code does not indicate success: 403 (Package Already Exists)`

However it is not captured and instead the actual return in OnError(exception => { ... }); is:
`NuGet: Process returned an error (exit code 1)`

Relevant Gitters:
[November 8, 2018 8:10 AM](https://gitter.im/cake-build/cake?at=5be3e1532138723405d2cbf5)
[November 8, 2018 9:53 AM](https://gitter.im/cake-build/cake?at=5be3f98092b7d1172156dfb8)
[November 8, 2018 11:20 AM](https://gitter.im/cake-build/cake?at=5be40e07d001b917202969c9)","NuGetPush alias should capture NuGet.exe output  When pushing with NuGetPush and expecting something like a failure because of a disabled package override on the NuGet Feed.

The expected NuGet.exe output is: 
`Response status code does not indicate su",2447,fseegraeber,cake
