IssueID,Title,Description,Title_Description,PullRequestID,FixedByID,RepoID
3395,Canonical and None URL mappings don't work correctly on localized sites,"## Description of bug
Canonical and None URL mappings don't work correctly on localized sites. This is pretty much what #3017 is about, but steps to reproduce are more precise.

## Steps to reproduce
1. Set up a new IIS web site for DNN 9.4.3. Name it `platform-9-4-3.dnndev.me`.
2. Install DNN 9.4.3 with default settings (as in `/install.aspx`).
3. Add non primary alias `www-platform-9-4-3.dnndev.me` (and corresponding IIS binding)
4. Ensure URL Mapping is set to `Canonical`
5. Add French as a second language
6. Enable content localization, create localized pages, mark all as translated, activate French pages, publish all French pages.
7. Create additional non-primary aliases:
7.a) `www-platform-9-4-3.dnndev.me/en-us` for English
7.b) `www-platform-9-4-3.dnndev.me/fr-fr` for French
7. Navigate to `www-platform-9-4-3.dnndev.me/fr-fr/`

## Current behavior
DNN redirects to `platform-9-4-3.dnndev.me/fr-fr` (the primary alias)

## Expected behavior
Given URL mapping is set to canonical, no redirection should be performed.

## Additional context
Some pitfalls with Chrome:
* Chrome hides ""www."" prefix from the URL, which can be very confusing. That's why I used ""www-"" (with a dash) to avoid this.
* Keep the Dev Tools panel open at all times with the cache disabled. This will get rid of confusing caching issues.

## Affected version
* [X] 10.0.0 alpha build
* [X] 9.5.0 alpha build
* [X] 9.4.x latest supported release
* [X] 9.3.x latest supported release
(not sure about older versions)

## Affected browser
N/A","Canonical and None URL mappings don't work correctly on localized sites  ## Description of bug
Canonical and None URL mappings don't work correctly on localized sites. This is pretty much what #3017 is about, but steps to reproduce are more precise.

#",3396,daguiler,Dnn.Platform
3017,Portal alias redirecting to Primary alias when adding new language and enabling content localization,"Portal alias redirecting to Primary alias when adding new language and enabling content localization. Before new language and content localization alias are working fine for canonical or none mode

## Description of bug
Portal alias redirecting to Primary alias when adding new language and enabling content localization. Before new language and content localization alias are working fine for canonical or none mode

## Steps to reproduce
1/ create a new portal with at least 1 published page
2/ Site Settings -> Languages ... add at least one additional language and enable it
3/ Enable localized content (with all pages translatable) - this should create localized copies of all pages and also create language-specific aliases
4/ translate and publish pages you want to test
5/ add an additional alias for the portal and also for each language
6/ set ""Site Alias Mapping Mode"" to None or to Canonical
7/ try to access a page using the additional alias - you will be always redirected to the primary alias

## Current result
When you try to access any of the secondary pages via the additional alias, you get redirected to the primary one. Eg.
https://aliasen931.dnndev.me/en-gb/what-we-do gets redirected to https://en931.morganphilips.com/en-gb/what-we-do

## Expected result
When access https://aliasen931.dnndev.me/en-gb/what-we-do it should not redirect

## Affected version
* [X ] 9.1.1
* [X ] 9.2.0
* [X ] 9.3.0
* [X ] 9.4.0 latest supported release",Portal alias redirecting to Primary alias when adding new language and enabling content localization  Portal alias redirecting to Primary alias when adding new language and enabling content localization. Before new language and content localization alias,3396,daguiler,Dnn.Platform
2841,PortalAlias Settings Not Correctly Observed,"## Description of bug
We just experienced this on the dnncommunity.org website.  Basically, we installed under one URL, upgraded a couple of times, then added a new URL as primary and the original URL was still being used.  From what I could tell, the first URL in the database was being used, despite a different domain name being specified as `IsPrimary` and Site Alias Mapping Mode being set to Redirect.

**IMPORTANT:**  If this is indeed a bug, it could have massive impacts on the ecosystem.  Websites may be incorrectly serving out the wrong domain names and the website owners may not have any clue that it's happening.

## Steps to reproduce
List the steps to reproduce the behavior:
1. Install DNN 9.1.1 and use a specific URL (e.g., domain1.org, and www.domain1.org)
2. Upgrade to DNN 9.2.2
3. Upgrade to DNN 9.3.2
4. Add another domain, and set it to be the primary site alias now (e.g., domain2.org (primary), and www.domain2.org)
5. View the website using the new URL/portal alias

## Current result
Originally, it was redirecting to the correct primary URL, but a lot of time, it doesn't.

## Expected result
The primary URL should be used when the setting exists and a HTTP 301 redirect should be performed is Redirect is the mapping mode.

## Additional context
We managed to fix this by deleting the original primary alias (that was no longer primary) and adding it to the end.

## Screenshots
![image](https://user-images.githubusercontent.com/938023/59397915-25eb1780-8d43-11e9-8009-a9cc1d20c22d.png)

## Affected version

* [x] 9.3.2
* [x] 9.3.1
* [x] 9.2.2
* [x] 9.2.1
* [x] 9.2
* [x] 9.1.1
* [ ] 9.1
* [ ] 9.0

## Affected browser

* [x] Chrome
* [x] Firefox
* [x] Safari
* [x] Internet Explorer
* [x] Edge","PortalAlias Settings Not Correctly Observed  ## Description of bug
We just experienced this on the dnncommunity.org website.  Basically, we installed under one URL, upgraded a couple of times, then added a new URL as primary and the original URL was stil",3396,daguiler,Dnn.Platform
123,"Fix DNN-5576: ""SecureFolder: Cannot sync folder if files ""Filename.Extenstion"" and ""Filename.Extenstion.resources"" exist""","See https://dnntracker.atlassian.net/browse/DNN-5576 for more details.","Fix DNN-5576: ""SecureFolder: Cannot sync folder if files ""Filename.Extenstion"" and ""Filename.Extenstion.resources"" exist""  See https://dnntracker.atlassian.net/browse/DNN-5576 for more details.",3386,thabaum,Dnn.Platform
3371,Email is below password fields on registration form,"<!-- 
  Please read contribution guideline first: https://github.com/dnnsoftware/Dnn.Platform/blob/development/CONTRIBUTING.md 
  Any potential security issues should be sent to security@dnnsoftware.com, rather than posted on GitHub
-->

## Description of bug
Provide a clear and concise description of what the bug is.

## Steps to reproduce
List the steps to reproduce the behavior:
1. Go to registration form
2. view order and see email is below the password fields.


## Current result
If you have to retype a captcha you might need to scroll up to re-enter passwords each time the code does not work.

## Expected result
Fields you may have to re-enter are close to the submit button.

## Screenshots
If applicable, provide screenshots to help explain your problem.

## Error log
Paste the error log that is related to this issue.

## Additional context
It would be nice to group the help icon and label together so they stick together if it is put on top of the text area.

## Affected version
<!-- 
Please add X in at least one of the boxes as appropriate. In order for an issue to be accepted, a developer needs to be able to reproduce the issue on a currently supported version. If you are looking for a workaround for an issue with an older version, please visit the forums at https://dnncommunity.org/forums
-->

* [ ] 10.0.0 alpha build
* [ ] 9.4.3 alpha build
* [ ] 9.4.2 latest supported release

## Affected browser
<!-- 
  Check all that apply and add more if necessary.
  If possible, please also specify exact versions and mention the operating system
-->

* [ ] Chrome
* [ ] Firefox
* [ ] Safari
* [ ] Internet Explorer
* [ ] Edge","Email is below password fields on registration form  <!-- 
  Please read contribution guideline first: https://github.com/dnnsoftware/Dnn.Platform/blob/development/CONTRIBUTING.md 
  Any potential security issues should be sent to security@dnnsoftware.c",3386,thabaum,Dnn.Platform
3372,Email Above Username in User.ascx.cs & Registration Form Issue #3371,"<!-- 
  Please read contribution guideline first: https://github.com/dnnsoftware/Dnn.Platform/blob/development/CONTRIBUTING.md 
-->

<!-- 
  Please make sure that there is a corresponding issue created and reference it in the PR by writing
  `Fixes #123` or `Closes #123`. 
  A PR without an accompanying issue will be accepted and merged on a very rare occasion
-->
Closes issue #3371
## Summary
Changed code to create email address field above Username on registration form and the User.ascx.cs file to match the User.ascx email order.


<!-- 

  
  Any new unit tests will be highly appreciated.
-->","Email Above Username in User.ascx.cs & Registration Form Issue #3371  <!-- 
  Please read contribution guideline first: https://github.com/dnnsoftware/Dnn.Platform/blob/development/CONTRIBUTING.md 
-->

<!-- 
  Please make sure that there is a corres",3386,thabaum,Dnn.Platform
123,"Fix DNN-5576: ""SecureFolder: Cannot sync folder if files ""Filename.Extenstion"" and ""Filename.Extenstion.resources"" exist""","See https://dnntracker.atlassian.net/browse/DNN-5576 for more details.","Fix DNN-5576: ""SecureFolder: Cannot sync folder if files ""Filename.Extenstion"" and ""Filename.Extenstion.resources"" exist""  See https://dnntracker.atlassian.net/browse/DNN-5576 for more details.",3384,berkarslan-xo,Dnn.Platform
3383,Console error displayed for missing gif file associated with European English,"<!-- 
  If you need community support or would like to solicit a Request for Comments (RFC), please post to the DNN Community forums at https://dnncommunity.org/forums for now.  In the future, we are planning to implement a more robust solution for cultivating new ideas and nuturing these from concept to creation.  We will update this template when this solution is generally available.  In the meantime, we appreciate your patience as we endeavor to streamline our GitHub focus and efforts.
  
  Please read the CONTRIBUTING guidelines at https://github.com/dnnsoftware/Dnn.Platform/blob/development/CONTRIBUTING.md prior to submitting an issue.

  Any potential security issues SHOULD NOT be posted on GitHub.  Instead, please send an email to security@dnnsoftware.com.
-->
## Description of bug
The flag icon on the home page header is broken.

## Steps to reproduce
List the precise steps to reproduce the bug:
1. Enable localization
2. Add ""English (Europe)"" as a new language
3. Browse to the home screen

## Current behavior
Console error is shown about the gif being not found.

## Expected behavior
The flag should be shown.

## Screenshots
![image](https://user-images.githubusercontent.com/45750757/70328930-435cf200-184b-11ea-8dbc-3b8e728d38d7.png)

## Error information

## Additional context

## Affected version
<!-- 
Please add X in at least one of the boxes as appropriate. In order for an issue to be accepted, a developer needs to be able to reproduce the issue on a currently supported version. If you are looking for a workaround for an issue with an older version, please visit the forums at https://dnncommunity.org/forums
-->
* [x] 9.4.3 latest supported release

## Affected browser
<!-- 
  Check all that apply, and add more if necessary. As appropriate, please specify the exact version(s) of the browser and operating system.
-->
* [x] Chrome
* [x] Firefox
* [x] Safari
* [x] Internet Explorer
* [x] Edge","Console error displayed for missing gif file associated with European English  <!-- 
  If you need community support or would like to solicit a Request for Comments (RFC), please post to the DNN Community forums at https://dnncommunity.org/forums for now",3384,berkarslan-xo,Dnn.Platform
3361,Merges latest changes from 9.4.x into development,This is a release management task and we are self approving it for that reason.,Merges latest changes from 9.4.x into development  This is a release management task and we are self approving it for that reason.,3366,bdukes,Dnn.Platform
2869,Removal of Obsolete Code,"## Summary
This the first commit for the resolution of #2800, this addresses solely the removal of methods that were flagged as obsolete for removal in 10.x.  Initial smoke testing has been completed against the core, however, due to the dependencies between this and the PB additional testing and future PR's might be necessary.

## Items for later consideration
There are a few other items to consider as well that might be follow-on work.

### Removal of Stored Procedures
Calls to the following Stored Procedures, were removed
DeleteContentWorkflowState
UpdateContentWorkflowState
GetContentWorkflowState
GetContentWorkflowStates
AddContentWorkflowLog
GetContentWorkflowLogs
DeleteContentWorkflowLogs
GetContentWorkflowSource
AddContentWorkflowSource

However, it appears that other areas are STILL using them, therefore I do not believe we SHOULD remove these but a more detailed review is necessary.

### jQuery Objects
The obsolete items were removed from the jQuery.cs file, however, further investigation might result in a complete removal of the class.","Removal of Obsolete Code  ## Summary
This the first commit for the resolution of #2800, this addresses solely the removal of methods that were flagged as obsolete for removal in 10.x.  Initial smoke testing has been completed against the core, however, d",3366,bdukes,Dnn.Platform
