IssueID,Title,Title_Description,FixedByID,PullRequestID
1,Initial port and addition of README.md,"Initial port and addition of README.md This is a port of the readme from CodePlex.  Some of the links have been updated to point to locations on GitHub, but many of the links still point back to CodePlex as comparable GitHub locations are currently absent",heejaechang,3247
10322,Bug in SyntaxGenerator for Visual Basic,"Bug in SyntaxGenerator for Visual Basic **Version Used**: Latest Master

**Steps to Reproduce**:
1. Create an instance of a `SyntaxGenerator`
2. Call `generator.DefaultSwitchSection(statements)`
3. Enjoy the crash

**Expected Behavior**:

It shou",Hosch250,10160
10392,Local functions: Remove support for `var` return type,"Local functions: Remove support for `var` return type May possibly be relaxed later.",agocke,12015
10446,Error inferring type of local variable in switch...case... pattern match,"Error inferring type of local variable in switch...case... pattern match **Version Used**: 

future branch, commit 7cad0660501ac371208d8aaf8abfee4cd6532c60

Visual Studio 2015 Update 2

**Steps to Reproduce**:
1. Check and build newest future branc",gafter,13274
10544,Incorrect warning CS0649 (field never assigned) with ref return,"Incorrect warning CS0649 (field never assigned) with ref return **Version Used**: Visual Studio ""15"" Preview

**Steps to Reproduce**:
1. Write the following class in a project with the demo features enabled (`__DEMO__` compilation symbol):
   
   ```",VSadov,14418
10604,Need to confirm how extra compiler generated blocks affect caching,"Need to confirm how extra compiler generated blocks affect caching @AlekseyTs You added the following PROTOTYPE comment, but I'm not sure exactly what it means. Please rewrite this issue to describe it.

``` cs
            /// <summary>
            //",AlekseyTs,18662
10891,"Forbid constructing tuples via ""new""","Forbid constructing tuples via ""new"" The following should work (or perhaps not):

new (int x1, int x2, ...., int x12) ( 1,2,...., 12);

It could be more complicated when constructor initializers are involved, like:
new (int x1, int x2, ...., int x12)",VSadov,14518
11019,VisualStudioAnalyzer deadlocks IDE,"VisualStudioAnalyzer deadlocks IDE **Version Used**: master 1.3.0.60502

**Steps to Reproduce**:
1.  Restore project from commandline that has nuget analyzers
2.  Also be working in Visual Studio simultaneously

**Expected Behavior**:

Visual Stud",natidea,11857
11282,Binder.GenerateImplicitConversionError is missing special handling for an erroneous conversion from a tuple literal,"Binder.GenerateImplicitConversionError is missing special handling for an erroneous conversion from a tuple literal  ```
        [Fact]
        public void TupleTypeMismatch_02()
        {
            var source = @""
class C
{
    static void Main(",VSadov,11989
11689,Enforce that ValueTuple types are structs,"Enforce that ValueTuple types are structs We seem to be gradually taking some direct or indirect dependencies on tuples being structs already - we allow nullable conversions, may consider ctor invocations equivalent to element-wise assignments into a loca",VSadov,14518
11772,Throw BadImageFormatException decoding TypeRef with resolution scope with nil AssemblyRef,"Throw BadImageFormatException decoding TypeRef with resolution scope with nil AssemblyRef Throw BadImageFormatException decoding TypeRef with resolution scope with nil AssemblyRef.

BadImageFormatException is handled by callers and the type is typically",cston,11914
11795,Throw BadImageFormatException decoding TypeRef with resolution scope with nil ModuleRef or TypeRef,"Throw BadImageFormatException decoding TypeRef with resolution scope with nil ModuleRef or TypeRef See comment in #11772.",cston,11914
11804,Implement ExplicitTupleLiteralConversion,"Implement ExplicitTupleLiteralConversion That is - explicit conversion from expression.

consider scenarios like `int x = 1; y = ((byte, string))(x, null)`",VSadov,12068
11875,Conversion error reporting crashes when typeless tuples are involved,"Conversion error reporting crashes when typeless tuples are involved Example:

``` c#
    (int, int) x = (null, null);
    (int, int) x = null;
```

Since the asignee does not have type the regular ""T1 does not convert to T2"" is not reported and Ge",VSadov,11989
11912,Perf - can we bulk close/remove documents on AbstractProject.Disconnect?,"Perf - can we bulk close/remove documents on AbstractProject.Disconnect? When looking at the code involved in project reload, I noticed that in `[AbstractProject.Disconnect()](http://source.roslyn.io/Microsoft.VisualStudio.LanguageServices/R/e6d530d69d1bd",mattwar,11985
11921,disable workspace document events on project disconnect,"disable workspace document events on project disconnect Fixes #11912 

This change disables all redundant workspace events from firing when a VS project is being removed/unloaded.

@Pilchie @jasonmalinowski please review.",mattwar,11985
12064,Propagate preferences between explicit and implicit conversions into nullable conversions,"Propagate preferences between explicit and implicit conversions into nullable conversions It is possible to have different implicit and explicit conversion between T an U. Having explicit cast in the code acts as a disambiguator in such cases.

Currentl",VSadov,12068
12067,Consider storing Conversion on bound conversion nodes and use at lowering.,"Consider storing Conversion on bound conversion nodes and use at lowering. Currently, in many cases, we classify conversions during semantic analysis and then again at lowering.

There are two issues with this:
- classification has costs. That is possi",VSadov,12068
12597,Scope changes for patterns and out var,Scope changes for patterns and out var The LDM is reconsidering some scope issues for pattern variables and out variables. The most likely change is that such variables declared in a declaration statement or expression statement that appear in a block are,AlekseyTs,13183
12763,CS0649 reported even if field is assignable through a ref returning member,"CS0649 reported even if field is assignable through a ref returning member CS0649 warnings reported even though `_f` and `_p` are assignable through `F()` and `P`:

```
public class A<T>
{
    private T _f;
    public ref T F()
    {
        retur",VSadov,14418
