IssueID,Title,Description,Title_Description,PullRequestID,FixedByID,RepoID
1437,Disable failing test,"ValidFileOptions test is failing.  Disable it.","Disable failing test  ValidFileOptions test is failing.  Disable it.",42837,halter73,corefx
1436,Improve performance of BigInteger.Multiply,"To introduce performance tweaks for BigInteger's operations a new static class `BigCalc` implements those algorithms based on raw uint[] objects, partially switching even to pointer arithmetic to spare some index calculations. First of all a multiplication implementation is included, furthermore an optimized version for squaring.

A basic performance comparison based on [this code](https://gist.github.com/axelheer/3b701c91271b7c762586) unveils the following results:

**Multiply**

| # of bits | # of vals | before ms | after ms |
| --: | --: | --: | --: |
| 16 | 1,000,000 | 41 | 35 |
| 64 | 1,000,000 | 127 | 89 |
| 256 | 1,000,000 | 284 | 182 |
| 1,024 | 100,000 | 236 | 147 |
| 4,096 | 10,000 | 323 | 142 |
| 16,384 | 1,000 | 495 | 132 |
| 65,536 | 100 | 785 | 121 |

**Square**

| # of bits | # of vals | before ms | after ms |
| --: | --: | --: | --: |
| 16 | 1,000,000 | 41 | 42 |
| 64 | 1,000,000 | 127 | 78 |
| 256 | 1,000,000 | 284 | 147 |
| 1,024 | 100,000 | 236 | 102 |
| 4,096 | 10,000 | 323 | 98 |
| 16,384 | 1,000 | 495 | 92 |
| 65,536 | 100 | 785 | 84 |

_Note:_ the performance gain is not as big as expected based on my previous work (as mentioned within the issue), but I'd still call it significant. I actually had some difficulties executing a custom build of _System.Runtime.Numerics_ though, since just dropping in the _dll_ as described [here](https://github.com/dotnet/corefx/wiki/Open-Source-Signing) does not work 'cause of some ""type forwards"". I finally managed to execute it using _kre-coreclr-win-x64.1.0.0-beta3_ and some hacks... :flushed:
#1307","Improve performance of BigInteger.Multiply  To introduce performance tweaks for BigInteger's operations a new static class `BigCalc` implements those algorithms based on raw uint[] objects, partially switching even to pointer arithmetic to spare some inde",42837,halter73,corefx
30892,Remove WinHttpHandler fallback from HttpClientHandler,"A developer can explicitly use WinHttpHandler by referencing the nuget package and constructing one.  The meant-to-be-temporary environment-variable-controlled fallback is not only additional code to be maintained and additional complexity on how the code is structured, it forces every consumer of System.Net.Http.dll on Windows to carry the WinHttpHandler code internal to System.Net.Http.dll, which increases the size of the binary by ~70K.",Remove WinHttpHandler fallback from HttpClientHandler  A developer can explicitly use WinHttpHandler by referencing the nuget package and constructing one.  The meant-to-be-temporary environment-variable-controlled fallback is not only additional code to,42451,ManickaP,corefx
30893,Remove CurlHandler fallback from HttpClientHandler,"SocketsHttpHandler has progressed to the point where we shouldn't need the fallback behind HttpClientHandler, and having it significantly increases the size of System.Net.Http.dll on Unix, while also requiring System.Net.Http.Native.so/dylib, and impacting distribution with libcurl.  We should remove the fallback and all associated code, and if any additional and impactful gaps are discovered, fix them in SocketsHttpHandler.","Remove CurlHandler fallback from HttpClientHandler  SocketsHttpHandler has progressed to the point where we shouldn't need the fallback behind HttpClientHandler, and having it significantly increases the size of System.Net.Http.dll on Unix, while also req",42451,ManickaP,corefx
40611,"FileSystem.Unix.File.Move uses ""rename"" in more cases","with the goal of avoiding link/copy when possible, since not reverting to LinkOrCopy when not necessary improves performance on file systems that do not support hard links, such as FAT.

Before this PR ""rename"" is used only when source and dest file exist and are on the same device and are the same file on that device.

With this PR ""rename"" is used when source file exist and source and dest are on the same device and either source and dest are the same file on that device (as before) **or dest file does not exist (new)**.

This latter case permits to use ""rename"" for simply moving a file to an non existing new name on the same device, instead of ""LinkOrCopyFile"". Consequently, calling File.Move for such cases on file systems that do not support link (e.g. FAT) will result in much faster operations, because copy won't be used.


See https://github.com/mono/mono/issues/16435","FileSystem.Unix.File.Move uses ""rename"" in more cases  with the goal of avoiding link/copy when possible, since not reverting to LinkOrCopy when not necessary improves performance on file systems that do not support hard links, such as FAT.

Before this",42430,wfurt,corefx
31383,FileSystemWatcher tests on MacOS constantly fail on Outerloop CI run,"https://dev.azure.com/dnceng/public/_build/results?buildId=414240&view=ms.vss-test-web.build-test-results-tab

![image](https://user-images.githubusercontent.com/7684835/68095358-a11da900-fe5d-11e9-8e9a-1ae9f4b1ba03.png)","FileSystemWatcher tests on MacOS constantly fail on Outerloop CI run  https://dev.azure.com/dnceng/public/_build/results?buildId=414240&view=ms.vss-test-web.build-test-results-tab

![image](https://user-images.githubusercontent.com/7684835/68095358-a11d",42430,wfurt,corefx
31209,tracing in NameResolution should be improved,"I wrote simple app to lookup one name expected to succeed and one expected to fail:
 
```c#
Task t1 = Task.Run(() => Dns.GetHostEntry(""www.foo.com""));
Task t2 = Task.Run(() => Dns.GetHostEntry(""www.foo22.com""));
Task t3 = Dns.GetHostEntryAsync(""www.foo.com"");
Task t4 = Dns.GetHostEntryAsync(""www.foo22.com""); 
```
and I enabled tracing for NameResolution (or use dotnet-trace) 
```
COMPlus_EnableEventPipe=1
COMPlus_EventPipeConfig=Microsoft-System-Net-NameResolution:0xFFFFFFFFFFFFFFFF:5
```
I get following entries for synchronous successful call:
```
<Event MSec=  ""6067.9290"" PID=""10091"" PName=""Process(10091)"" TID=""10091"" EventName=""Enter"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""GetHostEntry"" parameters=""(www.foo.com)""/>
<Event MSec=  ""6068.6685"" PID=""10091"" PName=""Process(10091)"" TID=""10091"" EventName=""Enter"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""InternalGetHostByName"" parameters=""(www.foo.com)""/>
<Event MSec= ""11089.9084"" PID=""10091"" PName=""Process(10091)"" TID=""10091"" EventName=""Exit"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""InternalGetHostByName"" result=""IPHostEntry#33476626""/>
<Event MSec= ""11089.9167"" PID=""10091"" PName=""Process(10091)"" TID=""10091"" EventName=""Exit"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""GetHostEntry"" result=""IPHostEntry#33476626""/>
```
and this for failing one:
```
<Event MSec=  ""4770.0633"" PID=""10308"" PName=""Process(10308)"" TID=""10308"" EventName=""Enter"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""GetHostEntry"" parameters=""(www.foo2.com)""/>
<Event MSec=  ""4771.6036"" PID=""10308"" PName=""Process(10308)"" TID=""10308"" EventName=""Enter"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""InternalGetHostByName"" parameters=""(www.foo22.com)""/>
```

There are several issue: 
- the successful case has duplicate entires - one for GetHostEntry and one for InternalGetHostByName. It seems like we should either trace entry/exit on  public function or on internal implementation. Right now we create trace entires without added value. 
- the unsuccessful case has no details or entry about failure. If somebody would use filter like `COMPlus_EventPipeConfig=*:0xFFFFFFFFFFFFFFFF:3` to get all errors (or higher) would get nothing at all. 

The Async version is similar. For two sucessfull lookups I get something like 
```
<Event MSec=  ""1622.1247"" PID=""11101"" PName=""Process(11101)"" TID=""11101"" EventName=""Enter"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""BeginGetHostEntry"" parameters=""(www.foo.com)""/>
<Event MSec=  ""1624.5354"" PID=""11101"" PName=""Process(11101)"" TID=""11101"" EventName=""Exit"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""BeginGetHostEntry"" result=""DnsResolveAsyncResult#33476626""/>
<Event MSec=  ""1624.5881"" PID=""11101"" PName=""Process(11101)"" TID=""11101"" EventName=""Enter"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""BeginGetHostEntry"" parameters=""(www.foo.com)""/>
<Event MSec=  ""1625.0484"" PID=""11101"" PName=""Process(11101)"" TID=""11101"" EventName=""Exit"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""BeginGetHostEntry"" result=""DnsResolveAsyncResult#27252167""/>
<Event MSec=  ""6647.5183"" PID=""11101"" PName=""Process(11101)"" TID=""11112"" EventName=""Enter"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""EndGetHostEntry"" parameters=""(DnsResolveAsyncResult#27252167)""/>
<Event MSec=  ""6647.5809"" PID=""11101"" PName=""Process(11101)"" TID=""11109"" EventName=""Enter"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""EndGetHostEntry"" parameters=""(DnsResolveAsyncResult#33476626)""/>
<Event MSec=  ""6647.6229"" PID=""11101"" PName=""Process(11101)"" TID=""11112"" EventName=""Exit"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""EndGetHostEntry"" result=""IPHostEntry#4032828""/>
<Event MSec=  ""6647.6674"" PID=""11101"" PName=""Process(11101)"" TID=""11109"" EventName=""Exit"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""(null)"" memberName=""EndGetHostEntry"" result=""IPHostEntry#6044116""/>
```

* since tasks are executed on ThreadPool I cannot anymore use TID to find matching Exit entries for Entry. So I cannot figure out how long took to do lookup and it is not possible find failing lookups by looking for missing Exit entries. 

**Proposal:** 

* We currently don't set context on entry/exit. We could set it to passed in string. That would allow us distinguish between lookups for different instances
* We could try/catch/throw in public functions but as @stephentoub quickly pointed out there is performance cost associated with that. We could do something like `catch (Exception) when (IsTracingEnabled())`  do pay the cost when tracing is enabled. However if we go with above proposal or if we find better way how to trace identity we can emit traces at the places where we throw. 

```c#
        private static object GetHostEntryOrAddressesCore(string hostName, bool justAddresses)
        {
            int hash = hostName.GetHashCode();
            if (NetEventSource.IsEnabled) NetEventSource.Enter(hostName, hostName);
            Console.WriteLine(""GetHostEntryOrAddressesCore start: {0} {1}"",  hostName, hostName.GetHashCode());
            ValidateHostName(hostName);

            SocketError errorCode = NameResolutionPal.TryGetAddrInfo(hostName, justAddresses, out string newHostName, out string[] aliases, out IPAddress[] addresses, out int nativeErrorCode);
            if (errorCode != SocketError.Success)
            {
+                if (NetEventSource.IsEnabled) NetEventSource.Error(hostName, $""{hostName} DNS lookup failed with {errorCode}"");
                throw SocketExceptionFactory.CreateSocketException(errorCode, nativeErrorCode);
            }
```
```
<Event MSec=   ""322.2866"" PID=""14211"" PName=""Process(14211)"" TID=""14211"" EventName=""Info"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""String#-263748031"" memberName=""GetHostEntryOrAddressesCoreAsync"" message=""www.foo.com""/>
<Event MSec=   ""324.5510"" PID=""14211"" PName=""Process(14211)"" TID=""14211"" EventName=""Info"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""String#-349866304"" memberName=""GetHostEntryOrAddressesCoreAsync"" message=""www.foo22.com""/>
<Event MSec=   ""326.1782"" PID=""14211"" PName=""Process(14211)"" TID=""14219"" EventName=""Enter"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""String#-263748031"" memberName=""GetHostEntryOrAddressesCore"" parameters=""(www.foo.com)""/>
<Event MSec=   ""326.2288"" PID=""14211"" PName=""Process(14211)"" TID=""14221"" EventName=""Enter"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""String#-349866304"" memberName=""GetHostEntryOrAddressesCore"" parameters=""(www.foo22.com)""/>
<Event MSec=  ""5354.9991"" PID=""14211"" PName=""Process(14211)"" TID=""14219"" EventName=""Exit"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""String#-263748031"" memberName=""GetHostEntryOrAddressesCore"" result=""IPHostEntry#6044116, 2""/>
<Event MSec=  ""5366.5515"" PID=""14211"" PName=""Process(14211)"" TID=""14221"" EventName=""ErrorMessage"" ProviderName=""Microsoft-System-Net-NameResolution"" thisOrContextObject=""String#-349866304"" memberName=""GetHostEntryOrAddressesCore"" message=""www.foo22.com DNS lookup failed with HostNotFound""/>

``` 

This would allow to pair Enter/Exit for successful cases as well as provide useful info on failures. When `*:0xFFFFFFFFFFFFFFFF:3` filter is used, it would show just the failing message without any additional craft. For that reason I think we should repeat failing name instead  of relying on Entry (as the record may not be available) 

For successful case I also throw  length of address list `result=""IPHostEntry#6044116, 2""/>` so the log would show to how many IP addresses name resolved to. 

```c#
 if (NetEventSource.IsEnabled) NetEventSource.Exit(hostName, result, addresses.Length);
```
","tracing in NameResolution should be improved  I wrote simple app to lookup one name expected to succeed and one expected to fail:
 
```c#
Task t1 = Task.Run(() => Dns.GetHostEntry(""www.foo.com""));
Task t2 = Task.Run(() => Dns.GetHostEntry(""www.foo22.c",42428,wfurt,corefx
23284,PrivateMemorySize64,"Writing code in Dotcore 2.0 and trying to use ```Process.GetCurrentProcess().PrivateMemorySize64``` on Linux will yield 0 as a result where by Windows OS's return the expected results.

Is this intended ?","PrivateMemorySize64  Writing code in Dotcore 2.0 and trying to use ```Process.GetCurrentProcess().PrivateMemorySize64``` on Linux will yield 0 as a result where by Windows OS's return the expected results.

Is this intended ?",42370,danmosemsft,corefx
28990,.NET Core Process APIs not Consistent (or always useful) in all situations,"# .NET Core Process APIs not Consistent (or always useful) in all situations

The Process APIs should return accurate and useful values in all situations. I wrote a [simple app that uses all the memory APIs](https://gist.github.com/richlander/6a88c41e06dc92751fa28e43124796cf) I could find. I am happy to add more if people direct me to them.

Major take-aways:

* Multiple properties return a value of 0 on Unix.
* `Process.MaxWorkingSet` != `memory.limit_in_bytes` when memory limited
* `Process.WorkingSet64` != `memory.usage_in_bytes`

Related issues:

* [PrivateMemorySize64](https://github.com/dotnet/corefx/issues/23449)
* [Process.MaxWorkingSet should read from /sys/fs/cgroup/memory when available](https://github.com/dotnet/corefx/issues/35638)

## On Windows

```console
C:\testapps\memory>dotnet run

***Configuration**
Build: .NET Core 3.0.0-preview4-27514-07
OS: Microsoft Windows 10.0.17763
OS Arch: X64

***Working set****
Process.MinWorkingSet: 204800
Process.MaxWorkingSet: 1413120
Process.PeakWorkingSet64: 15667200
Process.WorkingSet64: 15663104

***Memory*********
Process.PeakPagedMemorySize64: 267993088
Process.PrivateMemorySize64: 267993088
Process.NonpagedSystemMemorySize64: 42288
Process.PagedMemorySize64: 267993088
Process.PagedSystemMemorySize64: 138040

***Virtual memory
Process.VirtualMemorySize64: 2307580309504
Process.PeakVirtualMemorySize64: 2307580309504
```

## On Linux

```console
rich@tofino:~/memory$ dotnet run

***Configuration**
Build: .NET Core 3.0.0-preview4-27514-07
OS: Linux 3.10.105-bsp-1.2 dotnet/corefx#2 SMP PREEMPT Sat Oct 27 19:24:05 IST 2018
OS Arch: Arm64

***Working set****
Process.MinWorkingSet: 0
Process.MaxWorkingSet: 9223372036854775807
Process.PeakWorkingSet64: 0
Process.WorkingSet64: 18436096

***Memory*********
Process.PeakPagedMemorySize64: 0
Process.PrivateMemorySize64: 0
Process.NonpagedSystemMemorySize64: 0
Process.PagedMemorySize64: 0
Process.PagedSystemMemorySize64: 0

***Virtual memory
Process.VirtualMemorySize64: 2735525888
Process.PeakVirtualMemorySize64: 0

***CGroup*********
CGroup usage: 1644941312
CGroup memory limit: 9223372036854775807
```

## On macOS

```console
Richards-MacBook-Pro:memory rich$ dotnet run

***Configuration**
Build: .NET Core 3.0.0-preview4-27514-07
OS: Darwin 18.2.0 Darwin Kernel Version 18.2.0: Thu Dec 20 20:46:53 PST 2018; root:xnu-4903.241.1~1/RELEASE_X86_64
OS Arch: X64

***Working set****
Process.MinWorkingSet: 0
Process.MaxWorkingSet: 9223372036854775807
Process.PeakWorkingSet64: 0
Process.WorkingSet64: 18923520

***Memory*********
Process.PeakPagedMemorySize64: 0
Process.PrivateMemorySize64: 0
Process.NonpagedSystemMemorySize64: 0
Process.PagedMemorySize64: 0
Process.PagedSystemMemorySize64: 0

***Virtual memory
Process.VirtualMemorySize64: 6893395968
Process.PeakVirtualMemorySize64: 0
```

## On WSL

```console
rich@phantomlake:/mnt/c/testapps/memory$ ~/dotnet/dotnet run

***Configuration**
Build: .NET Core 3.0.0-preview4-27514-07
OS: Linux 4.4.0-17763-Microsoft dotnet/corefx#253-Microsoft Mon Dec 31 17:49:00 PST 2018
OS Arch: X64

***Working set****
Process.MinWorkingSet: 0
Process.MaxWorkingSet: 9223372036854775807
Process.PeakWorkingSet64: 0
Process.WorkingSet64: 17985536

***Memory*********
Process.PeakPagedMemorySize64: 0
Process.PrivateMemorySize64: 0
Process.NonpagedSystemMemorySize64: 0
Process.PagedMemorySize64: 0
Process.PagedSystemMemorySize64: 0

***Virtual memory
Process.VirtualMemorySize64: 84865474560
Process.PeakVirtualMemorySize64: 0
```

## On Linux running in a Debian container on Windows

```console
C:\testapps\memory>docker run --rm -v c:\testapps\memory:/app -w /app mcr.microsoft.com/dotnet/core-nightly/sdk:3.0 dotnet run

***Configuration**
Build: .NET Core 3.0.0-preview4-27508-07
OS: Linux 4.9.125-linuxkit dotnet/corefx#1 SMP Fri Sep 7 08:20:28 UTC 2018
OS Arch: X64

***Working set****
Process.MinWorkingSet: 0
Process.MaxWorkingSet: 9223372036854775807
Process.PeakWorkingSet64: 0
Process.WorkingSet64: 25559040

***Memory*********
Process.PeakPagedMemorySize64: 0
Process.PrivateMemorySize64: 0
Process.NonpagedSystemMemorySize64: 0
Process.PagedMemorySize64: 0
Process.PagedSystemMemorySize64: 0

***Virtual memory
Process.VirtualMemorySize64: 2689052672
Process.PeakVirtualMemorySize64: 0

***CGroup*********
CGroup usage: 76718080
CGroup memory limit: 9223372036854771712
```
## On Linux running in a Debian container on Windows -- memory-limited to 100MB

```console
C:\testapps\memory>docker run -m 100mb --rm -v c:\testapps\memory:/app -w /app mcr.microsoft.com/dotnet/core-nightly/sdk:3.0 dotnet run

***Configuration**
Build: .NET Core 3.0.0-preview4-27508-07
OS: Linux 4.9.125-linuxkit dotnet/corefx#1 SMP Fri Sep 7 08:20:28 UTC 2018
OS Arch: X64

***Working set****
Process.MinWorkingSet: 0
Process.MaxWorkingSet: 9223372036854775807
Process.PeakWorkingSet64: 0
Process.WorkingSet64: 25604096

***Memory*********
Process.PeakPagedMemorySize64: 0
Process.PrivateMemorySize64: 0
Process.NonpagedSystemMemorySize64: 0
Process.PagedMemorySize64: 0
Process.PagedSystemMemorySize64: 0

***Virtual memory
Process.VirtualMemorySize64: 2688528384
Process.PeakVirtualMemorySize64: 0

***CGroup*********
CGroup usage: 72470528
CGroup memory limit: 104857600
```",".NET Core Process APIs not Consistent (or always useful) in all situations  # .NET Core Process APIs not Consistent (or always useful) in all situations

The Process APIs should return accurate and useful values in all situations. I wrote a [simple app",42370,danmosemsft,corefx
31309,JsonSerializer NRE when deserializing object from array (bad error message),"I accidentally tried to deserialize some JSON using the wrong datatype and got a `NullReferenceException`. I think the error message should be improved.

sample:
```csharp
using System;
using System.Collections.Generic;

namespace stjCrash
{
    class Program
    {
        static void Main(string[] args)
        {
            var json = ""{\""key\"":[{\""name\"": \""something\""}]}"";

            TryRun(""System.Text.Json correct type"", () => System.Text.Json.JsonSerializer.Deserialize<Dictionary<string, List<Value>>>(json));
            TryRun(""System.Text.Json wrong type"", () => System.Text.Json.JsonSerializer.Deserialize<Dictionary<string, Value>>(json));

            TryRun(""Newtonsoft.Json correct type"", () => Newtonsoft.Json.JsonConvert.DeserializeObject<Dictionary<string, List<Value>>>(json));
            TryRun(""Newtonsoft.Json wrong type"", () => Newtonsoft.Json.JsonConvert.DeserializeObject<Dictionary<string, Value>>(json));
        }

        private static void TryRun(string name, Func<object> a)
        {
            try
            {
                a.Invoke();
                Console.WriteLine(name + "" succeeded"");
            }
            catch (Exception e)
            {
                Console.WriteLine(name + "" crashed ("" + e.GetType().Name + ""): "" + e.Message);
            }
        }

        private class Value
        {
            public string Name { get; set; }
        }
    }
}
```

output:
```text
System.Text.Json correct type succeeded
System.Text.Json wrong type crashed (NullReferenceException): Object reference not set to an instance of an object.
Newtonsoft.Json correct type succeeded
Newtonsoft.Json wrong type crashed (JsonSerializationException): Cannot deserialize the current JSON array (e.g. [1,2,3]) into type 'stjCrash.Program+Value' because the type requires a JSON object (e.g. {""name"":""value""}) to deserialize correctly.
To fix this error either change the JSON to a JSON object (e.g. {""name"":""value""}) or change the deserialized type to an array or a type that implements a collection interface (e.g. ICollection, IList) like List<T> that can be deserialized from a JSON array. JsonArrayAttribute can also be added to the type to force it to deserialize from a JSON array.
Path 'key', line 1, position 8.
```","JsonSerializer NRE when deserializing object from array (bad error message)  I accidentally tried to deserialize some JSON using the wrong datatype and got a `NullReferenceException`. I think the error message should be improved.

sample:
```csharp
us",42308,layomia,corefx
