IssueID,Title,Description,Title_Description,PullRequestID,FixedByID,RepoID
7943,Implement Windows x86 name mangling,"So far CoreRT only had to deal with platforms that have straightforward mangling for `extern ""C""` symbols (which is what we shoot for in CoreRT).

Windows x86 stdcall calling convention does the weird thing where `@XXX` is appended to symbol names (where XXX is the number of bytes of arguments to the method).

This pull request implements enough of what's needed to get p/invokes up and running.

I'm marking it as draft because we probably want to make a decision on how to mangle our symbol definitions too (right now this only does something for p/invoke references).","Implement Windows x86 name mangling  So far CoreRT only had to deal with platforms that have straightforward mangling for `extern ""C""` symbols (which is what we shoot for in CoreRT).

Windows x86 stdcall calling convention does the weird thing where `@X",7944,MichalStrehovsky,corert
1451,Merge changes from TFS,"","Merge changes from TFS  ",7944,MichalStrehovsky,corert
777,Merge changes from TFS,"","Merge changes from TFS  ",7911,MichalStrehovsky,corert
7906,Fix LockFreeReaderHashtable,"- Communication of the presence of an expanding hashtable was very close to not safe
  - Changed to aggressively use Interlocked operations instead
- If there were 3 threads, 1 which was expanding (thread A), 1 which failed an insert and was waiting on an expand(thread B), and a third which did a lookup for the item in process of insert on thread B, the table would find the item in process of insertion
  - Fixed by moving to a scheme where insertion didn't actually write in the value until it was confirmed that that spot was the right place to insert, and the value would be preserved into an expansion
  - In order to acquire a sentinel for scenarios without requiring the explicit definition of one, the first item inserted is used as the sentinel. It simply exists outside of the hashtable in a side variable","Fix LockFreeReaderHashtable  - Communication of the presence of an expanding hashtable was very close to not safe
  - Changed to aggressively use Interlocked operations instead
- If there were 3 threads, 1 which was expanding (thread A), 1 which failed",7911,MichalStrehovsky,corert
7893,Wasm: question: boxing to Single,"Hi, in the Wasm backend it loads float32s into float64s and adds the extends/truncs as necessary.  This has worked ok up till now, but there is a problem I think with `FieldInfo.SetValue`.  This takes an object so boxes the float32.  Currently this fails as the address passed to `SetValue` is an address to a float64 and RhBox does not expect that and the value is corrupted (a 64bit float is interpreted as a 32 bit float I think).  In other words the following test fails
```
    internal static void TestBoxSingle()
    {
        StartTest(""Test box single"");
        var fi = typeof(ClassWithFloat).GetField(""F"");
        fi.SetValue(null, 1.1f);

        PrintLine(ClassWithFloat.F.ToString());
        EndTest(1.1f == ClassWithFloat.F);
    }
}

public class ClassWithFloat
{
    public static float F;
}
``` 
And it prints -1.0842022E-19.   In the Wasm backend the evaluation stack can have a `StackEntry` type of `FloatConstantEntry`, but this I'm not sure is sufficient to solve this problem as the enum for StackValueKind is 
```
    internal enum StackValueKind
    {
        /// <summary>An unknow type.</summary>
        Unknown,
        /// <summary>Any signed or unsigned integer values that can be represented as a 32-bit entity.</summary>
        Int32,
        /// <summary>Any signed or unsigned integer values that can be represented as a 64-bit entity.</summary>
        Int64,
        /// <summary>Underlying platform pointer type represented as an integer of the appropriate size.</summary>
        NativeInt,
        /// <summary>Any float value.</summary>
        Float,
        /// <summary>A managed pointer.</summary>
        ByRef,
        /// <summary>An object reference.</summary>
        ObjRef,
        /// <summary>A value type which is not any of the primitive one.</summary>
        ValueType
    }
```
It does not distinguish between 32 and 64 bit floats, so its impossible, I think, to load the constant correctly from
```
  IL_0023:  ldc.r4     1.1
  IL_0028:  box        [System.Runtime]System.Single
```
The 1.1 is loaded with the `FloatConstantEntry` and it can't be passed correctly to the box/RhBox as its unknown whether to trunc the float or not.  

My question is, is my thinking correct and I need to add a new `StackEntry` type so that its known if the value was 32 or 64 bits?  This would not be a bad thing presumably from a performance point of view anyway,","Wasm: question: boxing to Single  Hi, in the Wasm backend it loads float32s into float64s and adds the extends/truncs as necessary.  This has worked ok up till now, but there is a problem I think with `FieldInfo.SetValue`.  This takes an object so boxes t",7897,yowl,corert
7891,Wasm: fix unsigned extend to uint64 and add test,"This widening cast was failing, particular causing a problem in https://github.com/dotnet/corert/blob/8d81b96c2561fe00a0ac95a40e2dd19642971a5a/src/System.Private.CoreLib/shared/System/Number.DiyFp.cs#L77-L103.  

Added a test that failed previously and zext instead of sext for unsigned widening.  There is a parameter that I thought to use, but it is passed false here: https://github.com/dotnet/corert/blob/master/src/Common/src/TypeSystem/IL/ILImporter.cs#L574-L578.  Maybe that is wrong?

Also I updated emscripten, this wasn't necessary to fix this, but I got sidetracked with a build error and upgraded.  Its not a bad idea anyway as they changed the build tooling to allow for either the fastcomp or llvm backend and we will need to upgrade at some point.  If you just `git pull` emscripten you will hit a problem with the current scripts due to these changes.  Changed a bit of documentation to fit today's reality.","Wasm: fix unsigned extend to uint64 and add test  This widening cast was failing, particular causing a problem in https://github.com/dotnet/corert/blob/8d81b96c2561fe00a0ac95a40e2dd19642971a5a/src/System.Private.CoreLib/shared/System/Number.DiyFp.cs#L77-L",7897,yowl,corert
5013,Base class library size on disk footprint workitems,"I spent some time looking into why an optimized Hello World is 3.8 MB big on Windows. There are two ways to look at this problem: what we do in the compiler to make it this big, and what we do in the class libraries that forces it to be so big. This issue tracks the latter.

With a [set of hacks here](https://github.com/MichalStrehovsky/corert/commit/ba04e683cbb647e42a4f448ffb65457f6a826d6f) Hello World can go down to about 2.4 MB. I was focusing mostly on getting the reflection stack out of the binary.

The problems:

- [ ] Some pieces of the class library have ETW tracing enabled. This heavily relies on reflection to work and brings pretty much everything into the binary.
- [ ] ResourceManager. This is mostly used to bring localized exception messages. Too bad we don't have any in the framework. ResourceManager parses custom attributes, so custom attribute support, reflection method invocation, reflection field access etc. is all brought in.
- [ ] Unhandled exception stack trace experience eagerly populates `MethodBase` when initializing `StackFrame`, bringing a lot of MethodInfo support in. This is totally my fault. I asked for this to be implemented similar to CoreCLR, but we have good reasons to make `StackFrame` a bit different.
- [ ] Enum.ToString. We'll probably want a more low level version of this. There's no way around not generating this. Someone will box an enum and someone will call a `ToString`. We'll need to generate this method. It better be lightweight.
- [x] ValueType.Equals/GetHashCode. This reflects on fields. We've heard complaints that when we fall back to this implementation, it's super slow. Maybe we want something more low level here (e.g. small NativeFormat data structures describing field offsets and their types, if valuetype). If we build new data structures, we'll also need to teach the type loader to build them. Fixed in #5436.
- [x] IsByRefLike. This is implemented as a custom attribute search. Maybe we shouldn't be calling it from the codepath where it's being called right now. Fixed in #5439.

There are also some other opportunities I didn't measure yet:
* There's still a bunch of type loader left in the image. We're not loading new types. It shouldn't be needed.
* Globalization support. We should look into exposing dummy globalization as a build option.
* Manifest resources. We're still emitting 160 kB of resource strings even though the resource manager is gone.
* There's a bunch more reflection stack in there, mostly to support Object.ToString().","Base class library size on disk footprint workitems  I spent some time looking into why an optimized Hello World is 3.8 MB big on Windows. There are two ways to look at this problem: what we do in the compiler to make it this big, and what we do in the cl",7269,MichalStrehovsky,corert
3801,Enum.GetValues() throws on blocked type.,"Fix https://github.com/dotnet/corert/issues/3797

This prompted a rethink of EnumInfo. This was originally
done at a time when we...

- Had only one metadata format to support.
- Far less support (and desire) for caching
  Reflection data.

Today,

- We have three metadata formats to support:

  * NativeFormat
  * EcmaFormat
  * BaloneyFormat (the phony metadata fantasized 
    by blocked types.)

- We've restored strong caching for various
  Reflection data and have the infrastructure for
  it.

Given that, it makes sense now to reimplement
EnumInfo on top of the Type abstraction so as
not to require all this inside knowledge. We're
going to cache the stuff anyway.","Enum.GetValues() throws on blocked type.  Fix https://github.com/dotnet/corert/issues/3797

This prompted a rethink of EnumInfo. This was originally
done at a time when we...

- Had only one metadata format to support.
- Far less support (and desire",7269,MichalStrehovsky,corert
7042,Fix mapping table emission for generic types,"We were only putting methods on instantiated types/fields into the mapping table because when the code was written, shared generics were wonky. We actually only need to emit a single entry for each canonically equivalent method/field though because the type loader can take care of the rest.

This reduces size of the mapping table for fields and methods and helps #6987 to avoid having to instantiate things over `Object`.","Fix mapping table emission for generic types  We were only putting methods on instantiated types/fields into the mapping table because when the code was written, shared generics were wonky. We actually only need to emit a single entry for each canonically",7171,MichalStrehovsky,corert
7169,SampleWebApi sample crashes with MissingRuntimeArtifactException,"Repro:

```
cd Samples\WebApi
dotnet publish -c Release -r win-x64
bin\x64\Release\netcoreapp2.1\win-x64\publish\SampleWebApi.exe
```

Result:
```
Unhandled Exception: EETypeRva:0x01468718(System.Reflection.MissingRuntimeArtifactException): This object cannot be invoked because it was metadata-enabled for browsing only: 'Microsoft.Extensions.Logging.Configuration.LoggerProviderConfiguration<Microsoft.Extensions.Logging.Console.ConsoleLoggerProvider>..ctor(Microsoft.Extensions.Logging.Configuration.ILoggerProviderConfigurationFactory)' For more information, please visit  http://go.microsoft.com/fwlink/?LinkID=616867
   at Internal.Reflection.Core.Execution.ExecutionEnvironment.GetMethodInvoker(RuntimeTypeInfo, QMethodDefinition, RuntimeTypeInfo[], MemberInfo) + 0x148
   at System.Reflection.Runtime.MethodInfos.NativeFormat.NativeFormatMethodCommon.GetUncachedMethodInvoker(RuntimeTypeInfo[], MemberInfo) + 0x50
   at System.Reflection.Runtime.MethodInfos.RuntimePlainConstructorInfo`1.get_UncachedMethodInvoker() + 0xa1
   at System.Reflection.Runtime.MethodInfos.RuntimePlainConstructorInfo`1.Invoke(BindingFlags, Binder, Object[], CultureInfo) + 0x65
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitConstructor(ConstructorCallSite, ServiceProviderEngineScope) + 0x9e
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitScoped(ScopedCallSite, ServiceProviderEngineScope) + 0x62
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitConstructor(ConstructorCallSite, ServiceProviderEngineScope) + 0x6b
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitScoped(ScopedCallSite, ServiceProviderEngineScope) + 0x62
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitIEnumerable(IEnumerableCallSite, ServiceProviderEngineScope) + 0x52
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitConstructor(ConstructorCallSite, ServiceProviderEngineScope) + 0x6b
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitTransient(TransientCallSite, ServiceProviderEngineScope) + 0x16
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitConstructor(ConstructorCallSite, ServiceProviderEngineScope) + 0x6b
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitScoped(ScopedCallSite, ServiceProviderEngineScope) + 0x62
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitConstructor(ConstructorCallSite, ServiceProviderEngineScope) + 0x6b
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitScoped(ScopedCallSite, ServiceProviderEngineScope) + 0x62
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitIEnumerable(IEnumerableCallSite, ServiceProviderEngineScope) + 0x52
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitConstructor(ConstructorCallSite, ServiceProviderEngineScope) + 0x6b
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitScoped(ScopedCallSite, ServiceProviderEngineScope) + 0x62
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitConstructor(ConstructorCallSite, ServiceProviderEngineScope) + 0x6b
   at Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver.VisitScoped(ScopedCallSite, ServiceProviderEngineScope) + 0x62
   at Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions.GetRequiredService(IServiceProvider, Type) + 0x5e
   at Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions.GetRequiredService[T](IServiceProvider) + 0x29
   at Microsoft.AspNetCore.Hosting.WebHostBuilder.Build() + 0xd1
```","SampleWebApi sample crashes with MissingRuntimeArtifactException  Repro:

```
cd Samples\WebApi
dotnet publish -c Release -r win-x64
bin\x64\Release\netcoreapp2.1\win-x64\publish\SampleWebApi.exe
```

Result:
```
Unhandled Exception: EETypeRva:0",7171,MichalStrehovsky,corert
