IssueID,Title,Description,Title_Description,PullRequestID,FixedByID,RepoID
11961,Scaffold-DbContext not correctly configuring auto incrementing primary key in from Sqlite database,"I'm using EF.Core scaffold to create a datamodel for a DB with an auto increment primary key but the context is being generated with the key annotated with ValueGeneratedNever() instead of ValueGeneratedOnAdd().  As a result EF framework requires each record to have a primary key set instead of allowing the DB to set it.

### Steps to reproduce

Create an SQLite DB with this table:

```sql
CREATE TABLE ""LastSyncTime"" 
( 
    `ID` INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT UNIQUE, 
    `SyncTime` TEXT NOT NULL, 
    `TableUpdated` TEXT NOT NULL 
)
```

In the package manager console run:  

```
Scaffold-DbContext ""DataSource=MyDatabase.sqlite;"" Microsoft.EntityFrameworkCore.Sqlite -OutputDir Models -force
```

Examine the context class, it generates with:

```c#
modelBuilder.Entity<LastSyncTime>(entity =>
{
    entity.HasIndex(e => e.Id)
        .IsUnique();

    entity.Property(e => e.Id)
        .HasColumnName(""ID"")
        .ValueGeneratedNever();

    entity.Property(e => e.SyncTime).IsRequired();

    entity.Property(e => e.TableUpdated).IsRequired();
});
```

ValueGeneratedNever() should be ValueGeneratedOnAdd()

### Further technical details
EF Core version: (found in project.csproj or packages.config) 2.1.0-rc1-final  (also happens in 2.0.2)
Database Provider: (e.g. Microsoft.EntityFrameworkCore.Sqlite)
Operating system:  Win 10 1709
IDE: (e.g. Visual Studio 2017 15.6.3)
",Scaffold-DbContext not correctly configuring auto incrementing primary key in from Sqlite database  I'm using EF.Core scaffold to create a datamodel for a DB with an auto increment primary key but the context is being generated with the key annotated with,20063,bricelam,efcore
19920,SQLite RevEng: Error when minimal foreign key specified,"``` sql
create table test (
    id integer primary key,
    parentId integer references test
);
```
```
InvalidOperationException: The data is NULL at ordinal 1. This method can't be called on NULL values. Check using IsDBNull before calling.
   at Microsoft.Data.Sqlite.SqliteValueReader.GetString(Int32 ordinal)
   at Microsoft.Data.Sqlite.SqliteDataReader.GetString(Int32 ordinal)
   at Microsoft.EntityFrameworkCore.Sqlite.Scaffolding.Internal.SqliteDatabaseModelFactory.GetForeignKeys(DbConnection connection, DatabaseTable table, IList`1 tables)+MoveNext()
   at Microsoft.EntityFrameworkCore.Sqlite.Scaffolding.Internal.SqliteDatabaseModelFactory.Create(DbConnection connection, DatabaseModelFactoryOptions options)
   at Microsoft.EntityFrameworkCore.Sqlite.Scaffolding.Internal.SqliteDatabaseModelFactory.Create(String connectionString, DatabaseModelFactoryOptions options)
```

EF Core version: 3.1.2","SQLite RevEng: Error when minimal foreign key specified  ``` sql
create table test (
    id integer primary key,
    parentId integer references test
);
```
```
InvalidOperationException: The data is NULL at ordinal 1. This method can't be called o",20063,bricelam,efcore
17270,"To vs From methods: Proposal to rationalize ToTable, ToQuery, ToView, FromSql, and other related methods","## Problems
1. Predicting what the outcome for the query, update and DDL pipelines is when a combination of ToTable, ToView and ToQuery is used requires understanding a growing set of arbitrary rules. 
2. There are scenarios that we want to support with the current combinations that actually aren't possible. For example:
   1. We want to re-enable using defining query with keyed entity types which brings back the question of what happens with the update pipeline by default
   2. We want to allow configuring a table to be used for CUD operations and as the root of the defining query (e.g. the defining query only adds a filter and sort order), and have the table still created by the DDL pipeline.
   3. Allow a table to be used for CUD operations but a different object, for example a view, to be used for queries (#15671), and still get the table created by migrations or `EnsureCreated`.
3. We also have a desire to extend EF Core to allow mapping entities in new ways, many of which are going to require new API surface that is also going to interact with the existing one, resulting in even more combinations and more rules. For example:
   1. Support for mapping to stored procedures for updates and possible query (#245)
   2. A more terse API for creating defining queries based on raw SQL (#17063)
   3. A way to specify a _null_ mapping, so that the query pipeline throws unless the user provides ad-hoc SQL in the LINQ query (https://github.com/aspnet/EntityFrameworkCore/issues/3932#issuecomment-419770662).
4. There is currently a mismatch between the naming patterns used to specify mappings in the model (most methods start with `To`) and ad-hoc mappings in queries (methods start with `From`). This obviously affects the existing methods but it would be good to have a coherent story if we want to add more, like a `FromTable` method you can use directly in queries.

## Examples
Right now what needs to happen when you call two methods like `ToTable` and `ToQuery` on the same entity type isn't clear. 

In general, it is desirable that when and entity is configured with `ToTable`, it  affects what the query pipeline, the update pipeline and the DDL pipeline for that entity. But when `ToQuery` is also applied, the simplest and most useful behavior seems to be that the latter will only override what happens with the query pipeline.  

Here the defining query references `People` which is the `DbSet<Person>` just to add an `OrderBy` call:

``` csharp
modelBuilder.Entity<Person>().HasNoKey();
modelBuilder.Entity<Person>().ToTable(""Guests"");
modelBuilder.Entity<Person>().ToQuery(() => this.People.OrderBy(p => p.Name));
``` 

Ideally this should mean that:

1. For the query pipeline, when `context.People.ToList()` is executed, this will generate the following SQL:

``` sql
SELECT [g]
FROM [Guests] AS [g]
ORDER BY [g].[Name]
```

2. For the update pipeline, CUD operations will be generated against `Guests`.

3. In the DDL pipeline (Migrations and EnsureCreated) will still create the table `Guests`. But currently any entity that has a defining query configured is ignored by the DDL pipeline. That is, the table won't be created, and there is no way to override that.

There have been similar request from customers to be able to compose `ToTable` and `ToView`, so that if both are used together, ToView only applies to the query pipeline, and `ToTable` to the update pipeline and DDL.

 ## Proposal

a. We slightly bend the semantics of `To` as used in APIs like `ToTable` to specify:
1. Primarily, the database object to which instances of that entity type will be persisted.
2. By convention (e.g. unless it is overridden by configuration), the database object from which instances of that type should be retrieved from.
3. Also by convention, the database object that the DDL pipeline should take care of creating.

b. We start adding `From*`, e.g. `FromSql`, `FromTable`, `FromQuery`, `FromView` that are used only to configure the way instances of a type should be retrieved (e.g. the mapping used by the query pipeline), without affecting the other two aspects.

c. We add the ability to configuring a null mapping, either through a new API or through calling `ToTable(null)` .

d. We add public API to ignore parts of the model in the DDL pipeline (#2725). That is, so that elements can be configured as declared but not defined in the EF Core model. E.g. `IsExtern()` or whatever name we choose.

e. We decide what to do with the other existing `To*`  methods on a case-by-case basis: 
1. Some of them may become obsolete if they are incoherent and not useful.
2. Some of them may be kept if they can be expressed using the building blocks listed above. For example, the current version of `ToView` which doesn't allow a definition of the view to be passed, implies by convention to use the same object for the update pipeline and to ignore the object for the purpose of migrations (e.g. `IsExtern(true)`).

f. For store procedure mapping, also consider how we can leverage the building blocks above. In the past we have got a lot of feedback on the value of having fine-grained mappings, for instance, be able to configure that UPDATEs should go trough a stored procedures while other operations still go through other conventional or explicitly configured mappings. While at the same time, there is value in being able to in a single call configure all CUD operations to stored procedures with by-convention names. But should this override the mapping for the query pipeline, or should we still go by the default table name unless explicitly configured with `FromQuery` or `FromSql`?.","To vs From methods: Proposal to rationalize ToTable, ToQuery, ToView, FromSql, and other related methods  ## Problems
1. Predicting what the outcome for the query, update and DDL pipelines is when a combination of ToTable, ToView and ToQuery is used requ",20054,AndriySvyryd,efcore
15671,Support separation of query and update mapping,"Copied from my StackOverflow post.

> Consider the model below. I have an `Order` class and an `OrderLine` class. The `Order.TotalAmount` is calculated through a view which performs an `OUTER APPLY` across all the `Order.OrderLines`.
> 
> ```csharp
>     [Table(""SelectOrder"")]
>     public class Order
>     {
>     	public decimal TotalAmount { get; set; }
>     	
>     	public virtual ICollection<OrderLine> OrderLines { get; set; }
>     }
>     
>     [Table(""SelectOrderLine"")]
>     public class OrderLine
>     {
>     	public decimal Amount { get; set; }
>     	
>     	public virtual Order Order { get; set; }
>     }
> ```
> 
> I have decorated my classes with the `TableAttribute` to enable Entity Framework Core to get the data from the views to the entity. The `TableAttribute` actually points to the view instead.
> 
> Now I would like to perform inserts, updates and deletes. This poses a problem as it's not possible to use a view with an `OUTER APPLY` for these changes. I've tried using query types for this but you cannot define an entity as both a query type and an entity type. Doing so results in an error for me. So adding a `TableAttribute` with the actual table e.g. `Order` in combination with `modelBuilder.Query<Order>().ToView(""SelectOrder"");` does not work.
> 
> I could create a separate class SelectOrder which is mapped to the view and map my Order entity to the table. Or I could build a custom attribute and perform some custom SQL generation by overriding the `SqlServerQuerySqlGenerator`.
> 
> But before I go down these roads... Is it really not possible to map an entity to both a view for selects and a table for inserts, updates and deletes?

I've since gone through the code and noticed that SqlServerQuerySqlGenerator is not used to generate non-SELECT queries, am I correct? So I'm left with adjusting the code to a custom EF Core version and add a ViewAttribute which it uses during `INSERT INTO SELECT ... FROM` generation or multiple classes which is the least preferred option by the person pulling my strings. Is there nothing better?","Support separation of query and update mapping  Copied from my StackOverflow post.

> Consider the model below. I have an `Order` class and an `OrderLine` class. The `Order.TotalAmount` is calculated through a view which performs an `OUTER APPLY` across",20054,AndriySvyryd,efcore
19687,SQLite: Incorrect result for modulo (%) on REAL values,SQLite always performs integer arithmetic for the modulo operator. This means that results will be very different from .NET on `double` and `float` values. We should consider blocking the SQL translation of this operator or enabling it via a UDF.,SQLite: Incorrect result for modulo (%) on REAL values  SQLite always performs integer arithmetic for the modulo operator. This means that results will be very different from .NET on `double` and `float` values. We should consider blocking the SQL transla,20024,bricelam,efcore
19635,SQLite: Enable Decimal,"Similar to PR #19617, we can enable more decimal operations by leveraging UDFs. Unlike TimeSpan, however, there isn't an acceptable type we can convert to to perform the operations, so it will require roughly one UDF per operation. For example:

Done | .NET | SQL
--- | --- | ---
&nbsp; | m1 + m2 | ef_add($m1, $m2)
&nbsp; | m1 / m2 | ef_divide($m1, $m2)
&nbsp; | m1 > m2 | ef_compare($m1, $m2) > 0
&nbsp; | m1 >= m2 | ef_compare($m1, $m2) >= 0
&nbsp; | m1 < m2 | ef_compare($m1, $m2) < 0
&nbsp; | m1 <= m2 | ef_compare($m1, $m2) <= 0
✔ | m1 % m2 | ef_mod($m1, $m2)
&nbsp; | m1 * m2 | ef_multiply($m1, $m2)
&nbsp; | m1 - m2 | ef_add($m1, ef_negate($m2))
&nbsp; | -m | ef_negate($m)
&nbsp; | Average(t => t.Decimal) | ef_avg(t.Decimal)
&nbsp; | Max(t => t.Decimal) | ef_max(t.Decimal)
&nbsp; | Min(t => t.Decimal) | ef_min(t.Decimal)
&nbsp; | Sum(t => t.Decimal) | ef_sum(t.Decimal)","SQLite: Enable Decimal  Similar to PR #19617, we can enable more decimal operations by leveraging UDFs. Unlike TimeSpan, however, there isn't an acceptable type we can convert to to perform the operations, so it will require roughly one UDF per operation.",20024,bricelam,efcore
12462,Stop configuring lazy-loading for properties that will always be eager-loaded,"For example, for owner to owned navigation properties in aggregates.

See also https://github.com/aspnet/EntityFrameworkCore/issues/10787#issuecomment-399989313","Stop configuring lazy-loading for properties that will always be eager-loaded  For example, for owner to owned navigation properties in aggregates.

See also https://github.com/aspnet/EntityFrameworkCore/issues/10787#issuecomment-399989313",20015,lajones,efcore
19847,Lazy-loading of an owned entity throws,"When I Update an entity's owned type to null, then do Detect Changes. after that read the navigation property, it throws InvalidOperationException: ""A tracking query projects owned entity without corresponding owner in result. Owned entities cannot be tracked without their owner. Either include the owner entity in the result or make query non-tracking using AsNoTracking()."";

If I set the naviation poperty to another instance which is not null,I can read it successfully.
by the way.when when lazy loading is not used, I can read it as null well.

### Steps to reproduce

``` C#
public class Order
{
    public int Id { get; set; }
    public StreetAddress? ShippingAddress { get; set; }
}

[Owned]
public class StreetAddress
{
    public string Street { get; set; }
    public string City { get; set; }
}

public class TestDbContext : DbContext
{
    public DbSet<Order> Orders {get;set;}

    protected override void OnConfiguring(DbContextOptionsBuilder options)
    {
        options.UseLazyLoadingProxies();
    }
}

using (var context = new TestDbContext())
{
      // seed order with non-null ShippingAddress.
      context.Orders.Add(new Order {Id = 1, ShippingAddress = new ShippingAddress {Street =""a"", City = ""b""}});
     context.SaveChanges();
}

//  update ShippingAddress  to null will throw the InvalidOperationException.
using (var context = new TestDbContext())
{
    var order = context.Orders.First();
    //  set ShippingAddress to null.
    order.ShippingAddress = null;
    context.Attach(order);
    context.Update(order);
    Console.WriteLine(order.ShippingAddress);  //  prints null.
    context.ChangeTracker.DetectChanges();
    Console.WriteLine(order.ShippingAddress); // will throw an exception.
}

//  update ShippingAddress  to non-null will not throw the InvalidOperationException.
using (var context = new TestDbContext())
{
    var order = context.Orders.First();
    //  set ShippingAddress to non-null.
    order.ShippingAddress = new ShippingAddress{Street =""c"", City = ""d""};
    context.Attach(order);
    context.Update(order);
    Console.WriteLine(order.ShippingAddress);  //  prints updated ShippingAddress.
    context.ChangeTracker.DetectChanges();
    Console.WriteLine(order.ShippingAddress);  //  prints updated ShippingAddress without the invalid operation exception
}

```

### Further technical details

EF Core version:3.1.1
Database provider: Microsoft.EntityFrameworkCore.SqlServer
Target framework: netcoreapp3.1
Operating system: windows 10
IDE: Visual Studio 2019 16.3","Lazy-loading of an owned entity throws  When I Update an entity's owned type to null, then do Detect Changes. after that read the navigation property, it throws InvalidOperationException: ""A tracking query projects owned entity without corresponding owner",20015,lajones,efcore
19246,Suggestion: add attribute to make type keyless,"Now ViewModel（ReonlyModel） It can only be set through the fluent API.
I want to attribute that the entity is read-only through the feature.

To avoid having to call `HasNoKey`.","Suggestion: add attribute to make type keyless  Now ViewModel（ReonlyModel） It can only be set through the fluent API.
I want to attribute that the entity is read-only through the feature.

To avoid having to call `HasNoKey`.",20011,smitpatel,efcore
19964,Test binaries compiled on windows fail on linux platform,"Line ending differences
https://helix.dot.net/api/2019-06-17/jobs/262e6f29-3aef-4972-92f8-ce5b4952ed89/workitems/Microsoft.EntityFrameworkCore.Design.Tests.dll/console
https://helix.dot.net/api/2019-06-17/jobs/262e6f29-3aef-4972-92f8-ce5b4952ed89/workitems/Microsoft.EntityFrameworkCore.InMemory.FunctionalTests.dll/console
https://helix.dot.net/api/2019-06-17/jobs/262e6f29-3aef-4972-92f8-ce5b4952ed89/workitems/Microsoft.EntityFrameworkCore.Sqlite.FunctionalTests.dll/console
https://helix.dot.net/api/2019-06-17/jobs/262e6f29-3aef-4972-92f8-ce5b4952ed89/workitems/Microsoft.EntityFrameworkCore.Tests.dll/console","Test binaries compiled on windows fail on linux platform  Line ending differences
https://helix.dot.net/api/2019-06-17/jobs/262e6f29-3aef-4972-92f8-ce5b4952ed89/workitems/Microsoft.EntityFrameworkCore.Design.Tests.dll/console
https://helix.dot.net/api/2",20011,smitpatel,efcore
