IssueID,Title,Description,Title_Description,PullRequestID,FixedByID,RepoID
3315,Assert.DoesNotThrow() stopped working as it was previously,"Some specs of environment first.
Windows 10 1809 build 17763.557
VS 2017 v15.9.12
.Net Framework Version: 4.7.03190
Test project is targeted for .Net Core 2.0.3
NUnit package version: 3.12.0 (latest for now)
NUnit3TestAdapter package version 3.12.0

Let's say we have an extension method like:

```
public static void Run<T>(this IEnumerable<T> sequence)     {
     foreach (var item in sequence);
}
```

and I used to use it like
  `Assert.DoesNotThrow(someEnumerable.Run)`

because IDE (or resharper, whatever)  suggests me use it instead of 
  `Assert.DoesNotThrow(()=>someEnumerable.Run())`

And everything was fine but then I had to update because another bug was fixed it started failing my tests with the exception
""System.ArgumentException : The actual value must be a parameterless delegate but was TestDelegate.
Parameter name: parameterName""

What is that? Do you even test the changes you make, guys?

Here is the test:

```
[Test]
public void NunitDoesNotThrowTest()
{
  TestDelegate fullform = () => Enumerable.Repeat(1, 10).Run(); // it is your TestDelegate. working
  TestDelegate shortForm = Enumerable.Repeat(1, 10).Run; // this is to. should be working because IT IS your TestDelegate (acording to VS) you want me to pass into DoesNotThrow() method!
  Assert.DoesNotThrow(() => Assert.DoesNotThrow(fullform));
  Assert.DoesNotThrow(() => Assert.DoesNotThrow(shortForm));
}
```","Assert.DoesNotThrow() stopped working as it was previously  Some specs of environment first.
Windows 10 1809 build 17763.557
VS 2017 v15.9.12
.Net Framework Version: 4.7.03190
Test project is targeted for .Net Core 2.0.3
NUnit package version: 3.12.0",3317,jnm2,nunit
3257,Running under mono,"trying to run the .NET 4.5 build under mono, executing nunitlite.tests.exe results in:

```
mono nunitlite.tests.exe
NUnitLite 3.13.0 (.NET Framework 4.5 Debug)
Copyright (c) 2019 Charlie Poole, Rob Prouse

Runtime Environment
   OS Version: Unix 4.4.0.148
  CLR Version: 4.0.30319.17020

Test Files
    /media/sf_D_DRIVE/Projects/github/nunit/bin/debug/net45/nunitlite.tests.exe

Test Discovery
  Start time: 2019-05-22 11:19:56Z
    End time: 2019-05-22 11:19:56Z
    Duration: 0.023 seconds

System.TypeLoadException: Could not load type 'NUnit.Framework.Internal.TestSuiteResult' from assembly 'nunit.framework, Version=3.13.0.0, Culture=neutral, PublicKeyToken=2638cd05610744eb'.
  at NUnit.Framework.Internal.Execution.WorkItemBuilder.CreateWorkItem (ITest test, ITestFilter filter, Boolean recursive) <0x41997a00 + 0x00143> in <filename unknown>:0
  at NUnit.Framework.Api.NUnitTestAssemblyRunner.RunAsync (ITestListener listener, ITestFilter filter) <0x41994900 + 0x0010f> in <filename unknown>:0
  at NUnit.Framework.Api.NUnitTestAssemblyRunner.Run (ITestListener listener, ITestFilter filter) <0x41994880 + 0x0001b> in <filename unknown>:0
  at NUnitLite.TextRunner.RunTests (NUnit.Framework.Internal.TestFilter filter, IDictionary`2 runSettings) <0x41994610 + 0x00059> in <filename unknown>:0
  at NUnitLite.TextRunner.Execute () <0x41984560 + 0x0071f> in <filename unknown>:0
```

I have no idea what to do to debug this.  This test exe runs correctly under .NET 4.5 on windows.","Running under mono  trying to run the .NET 4.5 build under mono, executing nunitlite.tests.exe results in:

```
mono nunitlite.tests.exe
NUnitLite 3.13.0 (.NET Framework 4.5 Debug)
Copyright (c) 2019 Charlie Poole, Rob Prouse

Runtime Environment",3271,jnm2,nunit
3261,Workaround for lost MethodInfo.Invoke stack trace beginning in Mono 5.20,"Fixes #3257. This is a regression in Mono 5.20 which is interfering with @oznetmaster's work and which will be on Azure Pipelines any minute as far as I know, affecting all our builds. (5.20 has been out for a month and a half and AzDO is still on 5.18.)

I stepped through the code on MonoDevelop on Ubuntu. The stack trace is present when the exception is initially thrown:

![image](https://user-images.githubusercontent.com/8040367/58386509-a03f3c00-7fce-11e9-9ca9-c5c7e6737904.png)

On the very next step when you press F10, the step out of MethodInfo.Invoke, the stack trace has been overwritten with useless info:

![image](https://user-images.githubusercontent.com/8040367/58386536-29567300-7fcf-11e9-99ad-80ebe7f7697a.png)

Full text of the thrown exception's StackTrace after stepping out of MethodInfo.Invoke:

![image](https://user-images.githubusercontent.com/8040367/58386539-34110800-7fcf-11e9-882e-24722fab8947.png)","Workaround for lost MethodInfo.Invoke stack trace beginning in Mono 5.20  Fixes #3257. This is a regression in Mono 5.20 which is interfering with @oznetmaster's work and which will be on Azure Pipelines any minute as far as I know, affecting all our buil",3271,jnm2,nunit
3222,Our build script tests hang when run with Mono on Windows,"When I run the equivalent of test45 using Mono 5.20 on Windows just like we do on Linux, the test run hangs consistently. It looks similar to what we've seen intermittently in CI.

Steps to reproduce from a PowerShell prompt on Windows:

- `choco install mono -y` if you don't have it already

- `.\build.ps1 -t build`

- ```
  &""C:\Program Files\Mono\bin\mono.exe"" `
    tools/NUnit.ConsoleRunner.3.9.0/tools/nunit3-console.exe `
    bin/Release/net45/nunit.framework.tests.dll `
    --result=test-results/net45/nunit.framework.tests.xml `
    --process=InProcess
  ```

The test run has never completed for me.","Our build script tests hang when run with Mono on Windows   When I run the equivalent of test45 using Mono 5.20 on Windows just like we do on Linux, the test run hangs consistently. It looks similar to what we've seen intermittently in CI.

Steps to rep",3225,jnm2,nunit
2023,Ability to abort threads running a message pump,"Closes everything in #1996 that is actionable at this time.
For reference to make it easy to see what is involved in aborting threads when testing GUI.","Ability to abort threads running a message pump  Closes everything in #1996 that is actionable at this time.
For reference to make it easy to see what is involved in aborting threads when testing GUI.",3225,jnm2,nunit
3027,TimeoutAttribute not available when targeting netcoreapp framework,"Fixes #1638 

As mentioned in the issue #1638, I had to delete the inital branch I created using abbotwares code, this was due to the branch being corrupt and not to do with the discussion around contribution. I then worked on a number of other PR's. When I started again on this issue, I decided enough time had gone by to be able to implement my own version as my memory was hazy to details, even if based on his concept. This means the thorny issue of contribution is side stepped, hopefully.

Happy to address any short comings but wanted to get PR out to get feedback. The original issue seems to have been lost in the very long thread, so no real definition to the solution. I've done the basics, i.e. allowed `TimeoutAttribute` to be applied to `.NetStandard1.4` and '.NetStandard1.6' or more specifically, `.NetCoreApp1.1` and `.NetCoreApp2.0`.

Tests added and no broken tests in other targets.","TimeoutAttribute not available when targeting netcoreapp framework  Fixes #1638 

As mentioned in the issue #1638, I had to delete the inital branch I created using abbotwares code, this was due to the branch being corrupt and not to do with the discuss",3190,mikkelbu,nunit
1638,TimeoutAttribute not available when targeting netcoreapp framework,"It seems that TimeoutAttribute is not available in the portable version of NUnit 3 when targeting .NET core with a netcoreapp test. This is extremely useful for any sort of test involving threading or integration test, so it would be really useful if this was made available.

Using: NUnit 3.4.0, dotnet-test-nunit 3.4.0-beta1.",TimeoutAttribute not available when targeting netcoreapp framework  It seems that TimeoutAttribute is not available in the portable version of NUnit 3 when targeting .NET core with a netcoreapp test. This is extremely useful for any sort of test involving,3190,mikkelbu,nunit
8,[SetUpFixture] is not working as expected in GUI - Flat list mode,"When Settings->Gui->Tree Display->Test structure->Flat list of TestFixtures is selected then
1. [SetUpFixture] methods are not being called when GUI Runner is used
2.Class having [SetUpFixture] attribute is being shown in tests list in the GUI.

More info at https://bugs.launchpad.net/nunit-3.0/+bug/807873","[SetUpFixture] is not working as expected in GUI - Flat list mode  When Settings->Gui->Tree Display->Test structure->Flat list of TestFixtures is selected then
1. [SetUpFixture] methods are not being called when GUI Runner is used
2.Class having [SetUpF",3154,ztittle,nunit
5,Need a way to repeatedly run the same test on different threads,"I need a new attribute similar to [Repeat] that starts the test on multiple threads concurrently. A similar attribute is available in MbUnit - ThreadedRepeat. The [ThreadedRepeat(5)] attribute will call the test 5 times in parallel, firing off a separate thread for each one.

 I couldn't find the MbUnit documentation for the ThreadedRepeat attribute, but there is a blog post that explains it: http://darrell.mozingo.net/2008/05/30/mbunits-threadedrepeat-attribute/

From https://bugs.launchpad.net/nunit-3.0/+bug/590804",Need a way to repeatedly run the same test on different threads  I need a new attribute similar to [Repeat] that starts the test on multiple threads concurrently. A similar attribute is available in MbUnit - ThreadedRepeat. The [ThreadedRepeat(5)] attribu,3154,ztittle,nunit
6,Log4net not working with NUnit,"Problem: Using log4net with newer versions of nunit means that no
log file is created.

Demonstration follows.

I created the solution in VS 2008.
The OS is Windows XP.
I tested using both the nunit GUI and console.
I compared Nunit 2.2.5 with 2.5.5 (I suspect 2.5.0 will fail as well.)
The solution is created as a console app.

When the app is run as a console application a Log file is produced.
When the app is run using 2.2.5 a Log file is produced.
When the app is run using 2.5.5 no Log file is produced.

Repro details and other info at https://bugs.launchpad.net/nunit-3.0/+bug/605034","Log4net not working with NUnit  Problem: Using log4net with newer versions of nunit means that no
log file is created.

Demonstration follows.

I created the solution in VS 2008.
The OS is Windows XP.
I tested using both the nunit GUI and console.",3154,ztittle,nunit
