IssueID,Title,Description,Title_Description,PullRequestID,FixedByID,RepoID
5974,Clear RequestContext when spawning connections,"This was causing reliability issues because new connections could occasionally be started due to a Ping message, which has a `""Ping""` `RequestContext` header set. The connection would then capture that `RequestContext` and would import it into messages created by the `SiloConnection` itself. These messages would then be treated as though they were Ping messages by the remote silo.

Examples of such messages are:
* Rejections for messages destined to an old silo generation
* Directory lookups - this is trickier, it relies on an optimization whereby `IncomingMessageAgent.ReceiveMessage` is called synchronously from the connection 

This would result in timeouts (which can prevent a silo from starting), active silos being declared dead, obscure exceptions such as `Unrecoverable Rejection (info: System.InvalidOperationException: Expected result of type Orleans.GrainDirectory.AddressesAndTag but encountered a null value.)`, and `NullReferenceExceptions` from `ActivationDirectory.FindTarget`","Clear RequestContext when spawning connections  This was causing reliability issues because new connections could occasionally be started due to a Ping message, which has a `""Ping""` `RequestContext` header set. The connection would then capture that `Requ",6357,ReubenBond,orleans
6014,Simplify ConnectionListener.RunAsync,Fixing in response to feedback from @davidfowl,Simplify ConnectionListener.RunAsync  Fixing in response to feedback from @davidfowl,6357,ReubenBond,orleans
6298,Possible issue in SimpleQueueCacheCursor.RecordDeliveryFailure,"I'm looking at the code for `SimpleQueueCacheCursor.RecordDeliveryFailure()`. That code is called by the `PersistentStreamPullingAgent` when the current value retrieved from the cursor could not be delivered. The function looks like this:

https://github.com/dotnet/orleans/blob/7090d7dbb62032f664488c38c6fda85bc4cbb45b/src/OrleansProviders/Streams/Common/SimpleCache/SimpleQueueCacheCursor.cs#L111-L120

The confusing thing is that `Element` is documented as pointing to the next element after current. So it would seem like the DeliveryFailure flag is being set on the element after the one that failed. Which might not be much of a problem as long as such an element always exists, and the code that consumes consumes this flag looks ahead (but that would certainly warrant a comment).  However there is not always a next item, and it looks like the code that consumes this (`SimpleQueueCacheItem.DrainBucket`)  does not look ahead.

So am I missing something, or is this buggy?

If this is buggy, fixing this directly seems tricky, because the value in the cursor's `current` field may no longer even be in the cache, since it could be in the previous cache bucket relative to `Element`, and therefore would be eligible for cleanup.",Possible issue in SimpleQueueCacheCursor.RecordDeliveryFailure  I'm looking at the code for `SimpleQueueCacheCursor.RecordDeliveryFailure()`. That code is called by the `PersistentStreamPullingAgent` when the current value retrieved from the cursor could,6299,KevinCathcart,orleans
6281,SimpleQueueCache mixes delivery receipts,"I need for a custom implementation of IQueueAdapterFactory. In my solution I would like to use SimpleQueueAdapterCache for IQueueAdapterCache GetQueueAdapterCache() method's response. But if I use this implementation I experiences the calls of IQueueAdapterReceiver.MessagesDeliveredAsync(IList<IBatchContainer> messages) are confused.

Expected behavior:
MessagesDeliveredAsync should be called after the subscribed grain processed the IBatchContainer successfully. If the grain throws exception the method shouldn't be called until the retry period (which is 1 min as default) timing out. After the time out the method call shouldn't contain the failed messages. It's important because we can send ACK to the queue after a success message processing.

Current behavior:

1. If there is only one message in the cache it won’t wait to finish processing of it.
2. If there are more than one message in the cache it won’t wait to finish processing of last batch.
3. If processing of any message from the cache is failed the next one batch will be marked as failure (except if the message was the last one in that case nothing will be marked). The marked messages won’t be passed to the MessagesDeliveredAsync method as parameter. So the failed messages will be passed but some of the success won’t be.

Implementation issues:

1. When tries to get the next batch from the cursor here: https://github.com/dotnet/orleans/blob/9699b6df713e461765a825c2d40af0079f6f18de/src/OrleansProviders/Streams/Common/SimpleCache/SimpleQueueCache.cs#L244
it will remove the cursor from the cached message if it was the last one. This will cause the purge thinks there is no consumer on the message here: https://github.com/dotnet/orleans/blob/9699b6df713e461765a825c2d40af0079f6f18de/src/OrleansProviders/Streams/Common/SimpleCache/SimpleQueueCache.cs#L92
2. Reason is same as above.
3. Here the cache should filter the failed messages:
https://github.com/dotnet/orleans/blob/9699b6df713e461765a825c2d40af0079f6f18de/src/OrleansProviders/Streams/Common/SimpleCache/SimpleQueueCache.cs#L121 
But when sets its state here:
https://github.com/dotnet/orleans/blob/9699b6df713e461765a825c2d40af0079f6f18de/src/OrleansProviders/Streams/Common/SimpleCache/SimpleQueueCacheCursor.cs#L118
the Element.Value will point to the next one and not to the “current” variable however the method is called for the “current”.


I created a short code sample for repro:
https://github.com/Gaben007/OrleansCustomStreamProviderTest",SimpleQueueCache mixes delivery receipts  I need for a custom implementation of IQueueAdapterFactory. In my solution I would like to use SimpleQueueAdapterCache for IQueueAdapterCache GetQueueAdapterCache() method's response. But if I use this implementat,6299,KevinCathcart,orleans
6263,Schedule received messages onto .NET ThreadPool,"","Schedule received messages onto .NET ThreadPool  ",6261,ReubenBond,orleans
6264,"Remove AsynchAgent, Executor, and related","Note that this is based on #6261, so that must be merged first, after which I will rebase this onto master","Remove AsynchAgent, Executor, and related  Note that this is based on #6261, so that must be merged first, after which I will rebase this onto master",6261,ReubenBond,orleans
5818,Implementing a method in an interface which hides a method in a base interface will cause codegen errors which don't easily give in to human understanding,"kidding but having an interface like 

```csharp
interface BaseFoo : IGrainWithStringKey
{
Task Bar();
}
```

And another

```
interface Foo : BaseFoo
{
new Task Bar();
}
```

Will cause codegen issues using both the `Microsoft.Orleans.CodeGenerator.MSBuild` package and the older one and the error mentions the id of the interface/method being a duplicate but the id cannot be found in codegen, however thanks to @ReubenBond  I found that if you look at the line mentioned, t he method will be there.

Double clicking in VS 2019 does not bring the codegen file up since it is in obj folder so you should know where it is to find it.

Best is to either have an analyzer not allowing methods hiding parent methods (since this is an error most of the times) or at least show an error with the method names involved. IMHO fixing this to generate correct code for it is not even required since almost always you don't want to do this in your interfaces","Implementing a method in an interface which hides a method in a base interface will cause codegen errors which don't easily give in to human understanding  kidding but having an interface like 

```csharp
interface BaseFoo : IGrainWithStringKey
{
Tas",6007,ReubenBond,orleans
5295,The switch statement contains multiple cases with label value...,"Grain interfaces with duplicate/hidden method definitions of a base interface cause invalid code to be generated.

Example:
```C#
public interface IBaseGrain : IGrainWithGuidKey
{
    Task Foo();
}

public interface IFooGrain : IBaseGrain
{
    Task Foo();
}
```

Ends up generating:

```C#
switch (methodId)
{
    case (int)0x6D596ED9:
        return ""Foo"";
    // ...
    case (int)0x6D596ED9:
        return ""Foo"";
    // ...
}
```

Normal VS setup does cause a warning on the hidden method but that doesn't break compilation. The generated code does.

I'll see if I can get around to a PR. Not sure I'll have time though. :( Likely either deduping in GrainInterfaceCommon.GenerateGrainInterfaceAndMethodSwitch *or*, perhaps more properly, accounting for hidden methods during ID generation in OrleansLegacyCompat.GetMethodId...","The switch statement contains multiple cases with label value...  Grain interfaces with duplicate/hidden method definitions of a base interface cause invalid code to be generated.

Example:
```C#
public interface IBaseGrain : IGrainWithGuidKey
{",6007,ReubenBond,orleans
4748,Exception thrown during OnActivateAsync not posted to client?,"I try this: a grain implemented Grain(T), while the entity T can not be found in storage during OnActivateAsync, a EntityNotFoundException will be thrown. And the exception will not be posted to the client. How can I handle this error?","Exception thrown during OnActivateAsync not posted to client?  I try this: a grain implemented Grain(T), while the entity T can not be found in storage during OnActivateAsync, a EntityNotFoundException will be thrown. And the exception will not be posted",5998,ReubenBond,orleans
5397,Test Reliability: ExceptionPropagation_ClientToGrain_SerializationFailure,"UnitTests.General.ExceptionPropagationTests.ExceptionPropagation_ClientToGrain_SerializationFailure is flaky. Example test run: https://ci.dot.net/job/dotnet_orleans/job/master/job/functional_prtest/2578/testReport/junit/UnitTests.General/ExceptionPropagationTests/ExceptionPropagation_ClientToGrain_SerializationFailure/

```
Stacktrace

MESSAGE:
Assert.Throws() Failure\r\nExpected: typeof(System.NotSupportedException)\r\nActual: 
typeof(System.TimeoutException): Response did not arrive on time in 00:00:30 for message: Request 
*cli/1770639c@44a482a6->S127.0.0.1:42555:0*grn/415DDB74/41aaf750 #5478: . Target History is: 
<S127.0.0.1:42555:0:*grn/415DDB74/41aaf750:>.

+++++++++++++++++++
STACK TRACE:
at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw() at 
System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
```",Test Reliability: ExceptionPropagation_ClientToGrain_SerializationFailure  UnitTests.General.ExceptionPropagationTests.ExceptionPropagation_ClientToGrain_SerializationFailure is flaky. Example test run: https://ci.dot.net/job/dotnet_orleans/job/master/job,5998,ReubenBond,orleans
