IssueID,Title,Description,Title_Description,PullRequestID,FixedByID,RepoID
4099,GenerateClsidMap failed unexpectedly,"When I try to build a project of mine that sets EnableComHosting=true, I get the following build error:

```
Error	MSB4018	The ""GenerateClsidMap"" task failed unexpectedly.
System.InvalidCastException: Specified cast is not valid.
   at System.Reflection.Throw.InvalidCast()
   at System.Reflection.Metadata.MemberReferenceHandle.op_Explicit(EntityHandle handle)
   at Microsoft.NET.Build.Tasks.ClsidMap.GetComVisibleAttribute(MetadataReader reader, CustomAttributeHandleCollection customAttributes)
   at Microsoft.NET.Build.Tasks.ClsidMap.<IsComVisible>g__IsComVisibleCore|8_0(TypeDefinition typeDefinition, <>c__DisplayClass8_0& )
   at Microsoft.NET.Build.Tasks.ClsidMap.IsComVisible(MetadataReader metadataReader, TypeDefinition definition, Boolean assemblyComVisible)
   at Microsoft.NET.Build.Tasks.ClsidMap.Create(MetadataReader metadataReader, String clsidMapPath)
   at Microsoft.NET.Build.Tasks.GenerateClsidMap.ExecuteCore()
   at Microsoft.NET.Build.Tasks.TaskBase.Execute()
   at Microsoft.Build.BackEnd.TaskExecutionHost.Microsoft.Build.BackEnd.ITaskExecutionHost.Execute()
   at Microsoft.Build.BackEnd.TaskBuilder.<ExecuteInstantiatedTask>d__26.MoveNext()
```

I don't know what would cause this problem; I believe it started happening after I added a `ComImport` interface to the assembly. The code for the problematic project is available [here](https://github.com/wjk/MSIExtractApp/tree/shell-extension/src/MSIExtract.ShellExtension). This error is currently blocking all progress on this project. Thanks for looking into this for me!

### .NET Core Info

```
.NET Core SDK (reflecting any global.json):
 Version:   3.1.100
 Commit:    cd82f021f4

Runtime Environment:
 OS Name:     Windows
 OS Version:  10.0.18363
 OS Platform: Windows
 RID:         win10-x64
 Base Path:   C:\Program Files\dotnet\sdk\3.1.100\

Host (useful for support):
  Version: 3.1.0
  Commit:  65f04fb6db

.NET Core SDKs installed:
  3.0.100 [C:\Program Files\dotnet\sdk]
  3.1.100 [C:\Program Files\dotnet\sdk]

.NET Core runtimes installed:
  Microsoft.AspNetCore.All 2.1.14 [C:\Program Files\dotnet\shared\Microsoft.AspNetCore.All]
  Microsoft.AspNetCore.App 2.1.14 [C:\Program Files\dotnet\shared\Microsoft.AspNetCore.App]
  Microsoft.AspNetCore.App 3.0.0 [C:\Program Files\dotnet\shared\Microsoft.AspNetCore.App]
  Microsoft.AspNetCore.App 3.1.0 [C:\Program Files\dotnet\shared\Microsoft.AspNetCore.App]
  Microsoft.NETCore.App 2.1.14 [C:\Program Files\dotnet\shared\Microsoft.NETCore.App]
  Microsoft.NETCore.App 3.0.0 [C:\Program Files\dotnet\shared\Microsoft.NETCore.App]
  Microsoft.NETCore.App 3.1.0 [C:\Program Files\dotnet\shared\Microsoft.NETCore.App]
  Microsoft.WindowsDesktop.App 3.0.0 [C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App]
  Microsoft.WindowsDesktop.App 3.1.0 [C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App]

To install additional .NET Core runtimes or SDKs:
  https://aka.ms/dotnet-download
```","GenerateClsidMap failed unexpectedly  When I try to build a project of mine that sets EnableComHosting=true, I get the following build error:

```
Error	MSB4018	The ""GenerateClsidMap"" task failed unexpectedly.
System.InvalidCastException: Specified ca",4121,AaronRobinsonMSFT,sdk
4112,Fix parsing of metadata when looking for COM related CustomAttributes.,Fixes https://github.com/dotnet/sdk/issues/4099,Fix parsing of metadata when looking for COM related CustomAttributes.  Fixes https://github.com/dotnet/sdk/issues/4099,4121,AaronRobinsonMSFT,sdk
3857,NullReferenceException in GenerateRuntimeConfigurationFiles.AddFrameworks,"Error occurred building xunit/xunit.analyzers@74f6d366bd5a33f7ed966fd6f1fb7703452dac0d with VS 16.4 Preview 3.

I'm not sure what the issue here is, but it seems possibly related to #3697.

```
C:\Program Files\dotnet\sdk\3.1.100-preview2-014569\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.Sdk.targets(255,5): error MSB4018: The ""GenerateRuntimeConfigurationFiles"" task failed unexpectedly. [C:\dev\github\xunit.analyzers\test\xunit.analyzers.tests\xunit.analyzers.tests.csproj]
C:\Program Files\dotnet\sdk\3.1.100-preview2-014569\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.Sdk.targets(255,5): error MSB4018: System.NullReferenceException: Object reference not set to an instance of an object. [C:\dev\github\xunit.analyzers\test\xunit.analyzers.tests\xunit.analyzers.tests.csproj]
C:\Program Files\dotnet\sdk\3.1.100-preview2-014569\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.Sdk.targets(255,5): error MSB4018:    at Microsoft.NET.Build.Tasks.GenerateRuntimeConfigurationFiles.AddFrameworks(RuntimeOptions runtimeOptions, ProjectContext projectContext) [C:\dev\github\xunit.analyzers\test\xunit.analyzers.tests\xunit.analyzers.tests.csproj]
C:\Program Files\dotnet\sdk\3.1.100-preview2-014569\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.Sdk.targets(255,5): error MSB4018:    at Microsoft.NET.Build.Tasks.GenerateRuntimeConfigurationFiles.WriteRuntimeConfig(ProjectContext projectContext) [C:\dev\github\xunit.analyzers\test\xunit.analyzers.tests\xunit.analyzers.tests.csproj]
C:\Program Files\dotnet\sdk\3.1.100-preview2-014569\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.Sdk.targets(255,5): error MSB4018:    at Microsoft.NET.Build.Tasks.GenerateRuntimeConfigurationFiles.ExecuteCore() [C:\dev\github\xunit.analyzers\test\xunit.analyzers.tests\xunit.analyzers.tests.csproj]
C:\Program Files\dotnet\sdk\3.1.100-preview2-014569\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.Sdk.targets(255,5): error MSB4018:    at Microsoft.NET.Build.Tasks.TaskBase.Execute() [C:\dev\github\xunit.analyzers\test\xunit.analyzers.tests\xunit.analyzers.tests.csproj]
C:\Program Files\dotnet\sdk\3.1.100-preview2-014569\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.Sdk.targets(255,5): error MSB4018:    at Microsoft.Build.BackEnd.TaskExecutionHost.Microsoft.Build.BackEnd.ITaskExecutionHost.Execute() [C:\dev\github\xunit.analyzers\test\xunit.analyzers.tests\xunit.analyzers.tests.csproj]
C:\Program Files\dotnet\sdk\3.1.100-preview2-014569\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.Sdk.targets(255,5): error MSB4018:    at Microsoft.Build.BackEnd.TaskBuilder.ExecuteInstantiatedTask(ITaskExecutionHost taskExecutionHost, TaskLoggingContext taskLoggingContext, TaskHost taskHost, ItemBucket bucket, TaskExecutionMode howToExecuteTask) [C:\dev\github\xunit.analyzers\test\xunit.analyzers.tests\xunit.analyzers.tests.csproj]
```","NullReferenceException in GenerateRuntimeConfigurationFiles.AddFrameworks  Error occurred building xunit/xunit.analyzers@74f6d366bd5a33f7ed966fd6f1fb7703452dac0d with VS 16.4 Preview 3.

I'm not sure what the issue here is, but it seems possibly related",3859,vitek-karas,sdk
3697,Implement writing includedFrameworks references for self-contained apps,"For self-contained apps which are of the right version (to maintain backward compat), write the framework references to a new `includedFrameworks` property in `.runtimeconfig.json`.

When the native hosting APIs are used to load a managed component into a process which is running a .NET Core app, the hosting layer should validate that the new component framework requirements are met by the frameworks loaded into the process already. This is to allow the new component to communicate with the app (same FX types), but also to overcome the fact that we don't want to load frameworks twice ever.

In order to validate the framework references declared by the new component, the host must know what frameworks are loaded into the process. For framework dependent apps this works fine as the host knows which frameworks it resolved during the app startup. But for self-contained apps, the host doesn't know as everything looks like an app to it.

This change adds he new `includedFrameworks` property to the `.runtimeconfig.json` which will be used for self-contained apps (only, it should not occur when `framework` or `frameworks` properties are used). It will contain the list of frameworks which were used to build the self-contained apps. The format is the same as `frameworks` property content.

To maintain strict backward compatibility, this change will only write the new property to projects targeting `netcoreapp3.1` or higher.

As coded this assumes the change will be approved for 3.1. If it's rejected, I will follow up with a change which will make the new property occur only for 5.0 and above.

#3541 - master (5.0) version","Implement writing includedFrameworks references for self-contained apps  For self-contained apps which are of the right version (to maintain backward compat), write the framework references to a new `includedFrameworks` property in `.runtimeconfig.json`.",3859,vitek-karas,sdk
3406,Supply rid graph to NuGet,Fix #3325,Supply rid graph to NuGet  Fix #3325,3543,dsplaisted,sdk
3495,Inclusion of runtime graph for all TFMs causes existing .NET Framework projects to turn x86,"So, it seems that giving the runtime graph to nuget for all TFMs is actually a pretty severe breaking change for .NET Framework in some cases.

Roslyn builds with preview 8 (maybe 7, not sure when the rid graph change landed) will switch the .NET Framework csc.exe, vbc.exe, VBCSCompiler.exe to x86 from Any CPU.

This happens because they have a ref to Microsoft.DiasymReader.Native which has runtimes/win-x86 assets. The design for .NET Framework is that when we find RID-specific assets AND there is no explicit AnyCPU and no explicit RID, then we take the win7-x86 assets and use PlatformTarget=x86. 

(I regret this design, but that is the design since 1.0 SDK. It was done so that .NET Framework ASP.NET Core projects could consume libuv without setting a RID or PlatformTarget. Project.json just picked the RID of the current machine, which was worse as you get different apps on different machines. We tried to make it an error and say you had to pick a PlatformTarget or RID on .NET Framework exes, but there was a ton of complaints about it and we landed on the design described above by compromise.)

The thing is that we use win7-x86, but without a RID graph, we/NuGet don't know that win-x86 assets are applicable to win7-x86. Now that we have the RID graph always, we discover these win-x86 assets for the first time and the (regrettable) design actually kicks in.

My suggestion to avoid a breaking change here is to not pass the RID graph by default for TFMs that are not .NET Core 3.0+ or .NET Standard 2.1+. We can put it behind an opt-in for other TFMs.

Separately, roslyn should explicitly set Any CPU defensively so that they are not sensitive to which SDK is used to build them.

cc @jaredpar @dsplaisted","Inclusion of runtime graph for all TFMs causes existing .NET Framework projects to turn x86  So, it seems that giving the runtime graph to nuget for all TFMs is actually a pretty severe breaking change for .NET Framework in some cases.

Roslyn builds wi",3543,dsplaisted,sdk
3109,Gather appropriate list of managed runtime assemblies for crossen and (eventually) linker,"Today, crossgen (new ReadyToRun feature) operates over all files to publish and filters out what is not IL. We have decided that the compilation set should be restricted by default to the set of files that we deem are runtime managed assets and designate as such in the .deps.json.

As of now, there isn't an exact match for this list that is readily available. _ResolvedCopyLocalPublishAssets + IntermediateAssembly is close.

I suspect that with #3080, this will be easier to do, but I didn't review in detail yet.","Gather appropriate list of managed runtime assemblies for crossen and (eventually) linker  Today, crossgen (new ReadyToRun feature) operates over all files to publish and filters out what is not IL. We have decided that the compilation set should be restr",3539,nguerrera,sdk
3547,"non-embedded comreference does not show up in deps file, throws FileNotFoundException at runtime","","non-embedded comreference does not show up in deps file, throws FileNotFoundException at runtime  ",3539,nguerrera,sdk
2660,Deps file includes runtime assets even for project references with Private=false,"`ProjectReference` with `Private=false` will not copy the referenced project's output to the application output folder (the desired behavior with `Private=false`). But it will still include the output as a runtime asset in the generated `.deps.json`. This effectively corrupts the application, such app won't load (fails in host during `.deps.json` processing).

This is also undesirable for producing plugin-like libraries. If I'm building a plugin, which will be loaded to an app at runtime, I don't want to include any assemblies which are provided by the app, but I still need to reference them during build. For `PackageReference` dependencies I can use `<ExcludeAssets>runtime</ExcludeAssets>` and that will produce the desired behavior. But for `ProjectReference` no such option exists (as far as I know).

Related to #1259 which was about adding the assets back to `.deps.json` (so effectively the exact opposite of this issue). My understanding of that issue is that we still want to keep the compile assets in the `.deps.json` if `PreserveCompilationContext` is specified. Exactly just like the `ExcludeAssets=runtime` behaves in case of NuGet packages. But the fix for #1259 was probably too aggressive and it added the runtime assets as well.

@ericstj @eerhardt @livarcocc @nguerrera",Deps file includes runtime assets even for project references with Private=false  `ProjectReference` with `Private=false` will not copy the referenced project's output to the application output folder (the desired behavior with `Private=false`). But it wi,3539,nguerrera,sdk
3548,"Linker cannot remove user non-framework, non-package references from deps file","","Linker cannot remove user non-framework, non-package references from deps file  ",3539,nguerrera,sdk
